ticker,LOCMQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-19,-4.375
2004-10-20,-3.268
2004-10-21,-0.2703
2004-10-22,10.5691
2004-10-25,1.1029
2004-10-26,30.0606
2004-10-27,17.4278
2004-10-28,-4.7619
2004-10-29,0.8333
2004-11-01,-8.595
2004-11-02,3.1646
2004-11-03,-0.3593
2004-11-04,32.0257
2004-11-05,6.1959
2004-11-08,-3.7077
2004-11-09,32.9077
2004-11-10,-1.5686
2004-11-11,14.8406
2004-11-12,4.9436
2004-11-15,0.6198
2004-11-16,-0.8255
2004-11-17,-13.0399
2004-11-18,4.5238
2004-11-19,20.3189
2004-11-22,6.5504999999999995
2004-11-23,-1.5281
2004-11-24,10.6099
2004-11-26,-0.1631
2004-11-29,-14.8366
2004-11-30,3.9524
2004-12-01,-0.6275
2004-12-02,7.9495000000000005
2004-12-03,-6.9511
2004-12-06,-6.8787
2004-12-07,-13.8602
2004-12-08,6.7773
2004-12-09,-1.5976
2004-12-10,-0.3949
2004-12-13,-8.8987
2004-12-14,7.3501
2004-12-15,1.0811
2004-12-16,-4.2781
2004-12-17,2.933
2004-12-20,-11.9991
2004-12-21,-1.2695
2004-12-22,-2.9151
2004-12-23,-14.7453
2004-12-27,3.0818
2004-12-28,11.3484
2004-12-29,-2.6849
2004-12-30,-2.4212
2004-12-31,4.674
2005-01-03,-3.8037
2005-01-04,-1.4613
2005-01-05,-1.2504
2005-01-06,-4.8881
2005-01-07,-10.8359
2005-01-10,1.5972
2005-01-11,-8.134
2005-01-12,8.4077
2005-01-13,-0.3363
2005-01-14,3.8496
2005-01-18,6.6975999999999996
2005-01-19,-4.537
2005-01-20,-6.6406
2005-01-21,2.7894
2005-01-24,8.4125
2005-01-25,1.627
2005-01-26,6.3424
2005-01-27,3.3584
2005-01-28,2.1289
2005-01-31,4.0592
2005-02-01,-2.4249
2005-02-02,5.3485
2005-02-03,0.1538
2005-02-04,-4.0707
2005-02-07,-6.8588000000000005
2005-02-08,6.4756
2005-02-09,1.6684999999999999
2005-02-10,-2.1175
2005-02-11,0.8112
2005-02-14,0.0536
2005-02-15,3.0563
2005-02-16,13.4235
2005-02-17,-0.9174
2005-02-18,5.5556
2005-02-22,-5.7018
2005-02-23,-0.4651
2005-02-24,-5.4673
2005-02-25,-5.2397
2005-02-28,7.9291
2005-03-01,-34.6061
2005-03-02,-11.0126
2005-03-03,-4.5681
2005-03-04,-2.6109999999999998
2005-03-07,-2.5916
2005-03-08,11.0092
