ticker,GXXM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-14,12.9032
2017-06-15,138.0952
2017-06-16,20.0
2017-06-19,49.8333
2017-06-20,10.1224
2017-06-21,-1.5152
2017-06-22,2.0513
2017-06-23,0.5025
2017-06-26,3.0
2017-06-27,1.9417
2017-06-28,0.0
2017-06-29,-14.2857
2017-06-30,27.3333
2017-07-03,8.6387
2017-07-05,0.0
2017-07-06,12.4498
2017-07-07,-0.0714
2017-07-10,-0.6433
2017-07-11,0.0
2017-07-13,-13.6691
2017-07-14,-0.4167
2017-07-17,-20.5021
2017-07-18,19.4737
2017-07-20,1.3216
2017-07-25,13.0435
2017-07-26,7.6923
2017-07-27,-1.7856999999999998
2017-08-01,-12.7273
2017-08-07,0.0
2017-08-10,-29.0833
2017-08-11,17.5088
2017-08-14,-15.0
2017-08-15,17.647100000000002
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-25,-0.1
2017-08-28,9.5095
2017-08-29,0.0
2017-08-30,-17.7331
2017-08-31,16.6667
2017-09-06,-0.0952
2017-09-07,0.0953
2017-09-08,-14.2857
2017-09-11,13.8889
2017-09-12,-21.7561
2017-09-13,49.5012
2017-09-14,0.0
2017-09-15,0.0
2017-09-18,-16.5972
2017-09-19,10.0
2017-09-20,-22.7273
2017-09-21,26.4706
2017-09-22,-19.5349
2017-09-25,19.0751
2017-09-26,-16.5049
2017-09-27,10.4651
2017-10-03,-26.3158
2017-10-04,41.1429
2017-10-05,-19.0283
2017-10-06,12.5
2017-10-10,2.7778
2017-10-11,1.6216
2017-10-13,0.0
2017-10-16,-22.766
2017-10-17,34.2975
2017-10-19,-20.5128
2017-10-20,41.9355
2017-10-26,-32.7273
2017-10-27,33.1081
2017-10-31,11.3706
2017-11-01,-20.6928
2017-11-02,17.8161
2017-11-10,-3.4146
2017-11-13,0.0
2017-11-14,-18.0808
2017-11-20,7.8915
2017-11-24,12.8
2017-11-27,-24.0122
2017-11-29,-3.3333
2017-12-01,31.0345
2017-12-05,-52.1053
2017-12-06,75.3846
2017-12-07,-37.3434
2017-12-08,49.8
2017-12-11,-19.7597
2017-12-13,4.2706
2017-12-14,22.3404
2017-12-22,0.0
2018-01-03,4.3478
2018-01-11,-66.6667
2018-01-12,170.0
2018-01-16,-20.3704
2018-01-17,0.0
2018-01-18,-72.093
2018-01-19,258.3333
2018-02-12,-6.9767
2018-02-15,-12.5
2018-02-20,0.0
2018-02-21,-7.1429
2018-03-02,-49.2308
