ticker,FHBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-21,-6.4327
2020-01-24,0.2779
2020-02-03,-8.5874
2020-02-10,2.2727
2020-02-14,-1.7856999999999998
2020-03-12,-9.0909
2020-03-16,-20.0
2020-03-23,-37.5
2020-03-24,-20.0
2020-03-26,15.625
2020-04-14,48.4324
2020-04-27,7.2833
2020-05-01,-1.5614
2020-06-05,-1.3889
2020-06-22,0.0
2020-07-02,-3.169
2020-07-27,-10.5455
