ticker,SRLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-25,-1.3889
2013-10-28,-1.6901000000000002
2013-10-29,0.2865
2013-10-30,0.0571
2013-10-31,-0.8567
2013-11-01,-0.1728
2013-11-04,1.6734
2013-11-05,-0.681
2013-11-06,0.6286
2013-11-07,-0.4543
2013-11-08,0.3993
2013-11-11,-2.7273
2013-11-12,0.993
2013-11-13,0.1157
2013-11-14,-0.6355
2013-11-15,-0.407
2013-11-18,-0.934
2013-11-19,0.8839
2013-11-20,-1.0514000000000001
2013-11-21,1.3577
2013-11-22,-1.1648
2013-11-25,-0.4714
2013-11-26,1.2433
2013-11-27,0.7602
2013-11-29,0.0
2013-12-02,-0.4063
2013-12-03,0.8741
2013-12-04,-0.8088
2013-12-05,0.0582
2013-12-06,-0.9895
2013-12-09,1.8225
2013-12-10,0.9815
2013-12-11,-2.0011
2013-12-12,-0.4084
2013-12-13,0.5272
2013-12-16,-0.1748
2013-12-17,-0.2919
2013-12-18,1.5808
2013-12-19,-1.0951
2013-12-20,3.38
2013-12-23,0.1127
2013-12-24,-0.6194
2013-12-26,0.17
2013-12-27,1.0181
2013-12-30,-0.056
2013-12-31,2.1849
2014-01-02,-0.2193
2014-01-03,-0.2198
2014-01-06,-0.9912
2014-01-07,-0.2781
2014-01-08,0.9481
2014-01-09,-0.4972
2014-01-10,0.0
2014-01-13,-0.8884
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,0.7283
2014-01-17,1.4461
2014-01-21,-1.9189
2014-01-22,0.1677
2014-01-23,0.4464
2014-01-24,2.1667
2014-01-27,0.5438
2014-01-28,-0.5408
2014-01-29,0.0544
2014-01-30,-0.0543
2014-01-31,-0.3806
2014-02-03,-0.5459
2014-02-04,0.4391
2014-02-05,-0.3825
2014-02-06,0.7817
2014-02-07,0.9397
2014-02-10,0.0
2014-02-11,0.2191
2014-02-12,-0.3279
2014-02-13,0.0548
2014-02-14,0.0
2014-02-18,0.5479
2014-02-19,-0.2725
2014-02-20,0.6557
2014-02-21,1.1401
2014-02-24,-0.9125
2014-02-25,-0.7042
2014-02-26,-0.3273
2014-02-27,1.6968
2014-02-28,-0.592
2014-03-03,-0.9204
2014-03-04,0.0546
2014-03-05,0.2731
2014-03-06,0.2723
2014-03-07,0.5975
2014-03-10,0.27
2014-03-11,-0.8078
2014-03-12,0.1629
2014-03-13,-0.4878
2014-03-14,-0.1089
2014-03-17,0.3817
2014-03-18,-0.0815
2014-03-19,0.0272
2014-03-20,0.1087
