ticker,ITOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-14,0.0
2006-11-24,24.0
2007-05-31,-3.2258
2007-09-05,-43.3333
2007-09-27,282.3529
2007-12-26,-75.3846
2008-02-22,6.25
2008-12-02,-41.1765
2009-02-04,150.0
2009-02-13,0.0
2009-05-26,-80.0
2009-06-22,0.0
2010-09-21,0.0
2010-11-15,220.0
2011-03-16,56.25
2011-04-28,-20.0
2011-05-02,0.0
2011-05-11,10.0
2011-05-26,-9.0909
2011-05-31,-50.0
2012-02-28,-50.0
2012-12-05,220.0
2012-12-13,-25.0
2013-01-07,0.0
2013-04-02,0.0
2013-07-03,-33.3333
2013-07-15,-12.5
2013-07-26,42.8571
2015-04-06,200.0
2015-04-07,-3.3333
2015-04-08,0.0
2015-04-09,75.8621
2015-04-10,1.9607999999999999
2015-04-14,-23.0769
2015-04-16,135.0
2015-04-20,-78.7234
2015-04-23,275.0
2015-05-06,0.0
2015-05-12,13.3333
2015-05-13,-40.0
2015-05-15,-21.5686
2015-05-18,27.5
2015-06-09,0.0
2015-06-15,-21.5686
2015-07-13,26.25
2015-07-20,0.0
2015-08-05,23.7624
2015-08-28,20.0
2015-09-10,0.0
2015-10-16,0.0
2016-03-02,-26.6667
2016-03-08,-18.1818
2016-03-09,0.0
2016-03-29,-11.1111
2016-03-31,-25.0
2016-04-04,-15.0
2016-04-05,-21.5686
2016-04-14,-25.0
2016-04-15,0.0
2016-05-04,0.0
2016-12-01,233.3333
2016-12-06,0.0
2016-12-20,0.0
2016-12-28,50.0
2016-12-30,-46.6667
2017-02-24,0.0
2017-03-01,0.0
2017-03-22,-50.0
2017-03-24,0.0
2017-04-06,62.5
2017-04-11,-48.0769
2017-04-28,48.1481
2017-05-01,0.0
2017-06-08,2.0
2017-06-16,9.8039
2017-07-03,16.0714
2017-07-11,0.0
2017-07-19,26.9231
2017-07-20,0.0
2017-08-15,-15.1515
2017-08-16,36.4286
2017-09-14,9.9476
2017-09-15,4.7619
2017-09-28,4.5455
2017-10-18,4.3478
2017-10-19,25.0
2017-11-02,0.0
2017-11-13,13.3333
2017-11-16,2.9412000000000003
2017-11-21,11.4286
2017-11-22,2.5641
2017-11-29,2.5
2017-11-30,-7.3171
2017-12-07,-42.1053
2017-12-08,72.7273
2017-12-14,5.2632
2017-12-15,0.0
2017-12-18,12.5
2017-12-19,64.4444
2017-12-20,-45.9459
2017-12-21,-22.5
2017-12-27,-8.3871
2018-01-10,76.0563
2018-01-16,0.0
