ticker,CSKL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-09,0.0
2010-09-13,-8.1081
2010-09-16,2.9412000000000003
2010-09-30,-1.4285999999999999
2010-10-13,2.3188
2010-10-14,-0.8499
2010-10-15,0.0
2010-10-21,-2.8571
2010-10-22,2.9412000000000003
2010-10-27,-1.4285999999999999
2010-10-28,0.0
2010-12-02,0.0
2010-12-07,0.0
2010-12-17,-5.7971
2010-12-30,3.0769
2011-01-10,1.4925
2011-01-11,-1.4706000000000001
2011-03-17,7.4627
2011-03-23,0.0
2011-09-12,-1.3889
2011-09-28,0.0
2011-10-20,0.0
2011-12-22,0.0
2011-12-28,0.0
2012-02-07,0.0
2012-03-05,0.0
2012-03-12,1.4085
2012-03-23,-3.6111
2012-03-29,0.0
2012-04-12,0.0
2012-05-25,2.3055
2012-08-17,1.4085
2012-08-20,0.0
2012-08-31,1.3889
2012-09-13,-1.3699
2012-10-03,-5.5556
2012-10-31,8.8235
2012-11-13,-8.1081
2012-11-30,8.8235
2012-12-28,0.0
2012-12-31,0.0
2013-01-09,-2.7027
2013-01-15,2.7778
2013-01-16,0.0
2013-01-23,2.7027
2013-02-05,-6.5789
2013-02-11,7.4053
2013-02-13,-4.7368
2013-02-20,1.6575
2013-02-21,0.5435
2013-02-22,-1.3514
2013-03-01,-1.0959
2013-04-09,1.108
2013-04-30,0.8796
2013-05-31,1.3624
2013-08-19,-1.5110999999999999
2013-08-21,0.0
2013-09-03,0.0
2013-09-19,1.9178
2013-09-27,-5.914
2013-10-31,1.8359
2013-11-11,1.4085
2013-11-18,-1.3889
2013-11-19,2.2535
2014-01-24,-3.208
2014-01-27,2.8571
2014-02-07,-0.8333
2014-02-11,1.6806999999999999
2014-02-12,-0.8264
2014-03-21,-1.1111
2014-05-07,7.163
2014-05-21,-15.7895
2014-06-13,12.5
2014-07-09,0.0
2014-07-14,0.0
2014-08-04,-9.6486
2014-08-06,1.2346
2014-10-22,9.6142
2014-11-03,3.352
2014-11-04,-2.7027
2014-11-18,0.0
2014-12-04,-5.5556
2014-12-05,2.9412000000000003
2014-12-15,-14.2857
2014-12-18,16.6667
2015-03-03,3.2702
2015-03-24,-5.5556
2015-04-24,0.4135
2015-04-30,2.9412000000000003
2015-05-19,-0.5714
2015-05-21,0.0
2015-07-27,-4.7894
2015-08-31,-9.0909
2015-09-30,6.6667
2015-10-13,-10.5461
2015-10-21,0.0
2016-01-22,22.947400000000002
2016-02-01,0.2865
2016-03-07,5.7143
2016-03-22,-8.1081
2016-04-01,0.0
2016-04-20,0.4725
2016-05-04,1.4109
2016-05-12,1.4493
2016-05-18,0.0
2016-05-20,0.0
2016-07-18,-2.467
2016-07-20,1.4706000000000001
2016-08-29,-2.8986
2016-10-21,1.9184999999999999
2016-11-18,0.0
2017-01-09,0.0
2017-01-12,1.4706000000000001
2017-03-07,-0.4077
2017-03-14,0.0
2017-04-07,5.7579
2017-04-19,5.5556
2017-05-03,-5.7895
2017-05-04,-0.838
2017-05-05,0.7324
2017-05-23,8.5011
2017-05-26,-2.0619
2017-05-30,2.1053
2017-06-14,0.0
2017-06-16,-9.7938
2017-06-21,10.857099999999999
2017-07-07,-9.3734
2017-07-11,-0.5143
2017-07-12,0.5169
2017-07-13,5.6
2017-07-18,-0.4329
2017-07-25,0.5435
2017-07-28,-5.4054
2017-08-11,10.857099999999999
2017-10-03,-3.866
2017-11-10,34.6983
2017-11-22,-13.2
2017-12-06,-7.3733
2017-12-14,0.0498
2018-01-18,0.9448
2018-01-29,10.1485
2018-02-08,3.3708
2018-03-20,-4.3478
2018-05-04,9.589
2018-05-14,2.2917
2018-05-30,1.833
2018-07-03,4.0
2018-07-06,0.0
2018-07-30,-3.4749
2018-09-10,8.0
2018-09-20,5.5556
2018-09-26,-1.7544
2018-10-05,-1.7921
2018-11-29,-2.1898
2019-01-28,0.4121
2019-01-30,0.0
2019-02-01,0.0
2019-02-05,0.0
2019-03-13,-2.2388
2019-03-21,-0.8397
2019-03-25,-3.0023
2019-03-27,-7.1429
2019-03-29,0.4274
2019-05-10,14.5789
2019-05-16,0.0
2019-05-28,-8.5821
2019-06-04,-3.6734999999999998
2019-06-06,0.0
2019-06-07,0.0
2019-06-18,0.2119
2019-07-03,0.0
2019-07-16,1.9541
2019-07-30,-0.8333
2019-09-25,-3.3613
2019-10-01,0.0
2019-10-07,0.4369
2019-10-14,0.0435
2019-10-15,0.0
2019-11-27,1.3043
2019-12-04,3.0043
2019-12-18,0.2083
2019-12-26,-0.2083
2020-02-05,12.8092
2020-03-23,-10.7607
2020-04-03,0.0
2020-06-22,-3.9265
