ticker,GOGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-24,7.2727
2008-06-25,-5.7627
2008-06-27,15.1079
2008-06-30,-18.75
2008-07-02,178.8462
2008-07-07,10.3448
2008-07-08,3.125
2008-07-09,21.2121
2008-07-14,-22.5
2008-07-16,0.0
2008-07-17,3.2258
2008-07-18,-3.75
2008-07-21,7.1429
2008-07-22,1.8182
2008-07-23,0.5952
2008-07-25,0.0
2008-07-28,0.5917
2008-07-29,-2.9412000000000003
2008-07-30,0.6061
2008-07-31,5.4217
2008-08-01,-5.7143
2008-08-05,-9.0909
2008-08-06,6.6667
2008-08-07,9.375
2008-08-13,-1.7143000000000002
2008-08-15,-1.7442
2008-08-18,-2.9586
2008-08-20,3.6585
2008-08-25,-2.9412000000000003
2008-08-26,-3.0303
2008-08-28,-9.375
2008-09-02,-31.0345
2008-09-04,5.0
2008-09-05,-42.8571
2008-09-08,108.3333
2008-09-09,-28.0
2008-09-12,44.4444
2008-09-15,-6.1538
2008-09-18,-17.2131
2008-09-22,-70.297
2008-09-25,230.0
2008-09-30,-69.697
2008-10-01,233.3333
2008-10-02,-1.0
2008-10-03,1.0101
2008-10-06,-25.0
2008-10-08,20.0
2008-10-09,0.0
2008-10-14,-16.7778
2008-10-15,20.1602
2008-10-16,-63.3333
2008-10-17,-39.3939
2008-10-20,-25.0
2008-10-21,-33.3333
2008-10-22,50.0
2008-10-24,-33.3333
2008-10-27,40.0
2008-10-30,7.1429
2008-10-31,-33.3333
2008-11-03,30.0
2008-11-04,0.0
2008-11-05,0.0
2008-11-07,7.6923
2008-11-10,-28.5714
2008-11-12,-30.0
2008-11-13,0.0
2008-11-14,7.1429
2008-11-17,46.6667
2008-11-19,-59.0909
2008-11-20,-33.3333
2008-11-24,33.3333
2008-11-25,-25.0
2008-11-28,0.0
2008-12-01,33.3333
2008-12-02,-50.0
2008-12-04,-50.0
2008-12-05,10.0
2008-12-12,190.9091
2008-12-19,-6.25
2008-12-22,33.3333
2008-12-23,-75.0
2008-12-24,100.0
2008-12-26,0.0
2008-12-29,0.0
2008-12-31,-50.0
2009-01-05,150.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,20.0
2009-01-09,-33.3333
2009-01-13,-21.5625
2009-01-14,-18.3267
2009-01-15,173.1707
2009-01-16,-14.2857
2009-01-20,16.6667
2009-01-21,-14.2857
2009-01-22,50.0
2009-01-23,-11.1111
2009-01-26,-62.5
2009-01-29,73.3333
2009-01-30,-34.6154
