ticker,MC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-16,4.6
2014-04-17,-0.2294
2014-04-21,-0.5366
2014-04-22,1.1561
2014-04-23,2.4
2014-04-24,3.311
2014-04-25,-2.9168
2014-04-28,0.1484
2014-04-29,-0.1852
2014-04-30,-1.4471
2014-05-01,0.6401
2014-05-02,0.5238
2014-05-05,-0.7443
2014-05-06,-0.8624
2014-05-07,1.0968
2014-05-08,-1.6461000000000001
2014-05-09,4.7927
2014-05-12,1.6334
2014-05-13,5.3571
2014-05-14,-0.9153
2014-05-15,-0.2737
2014-05-16,0.3431
2014-05-19,2.4957
2014-05-20,-0.9006
2014-05-21,1.3127
2014-05-22,0.6645
2014-05-23,-0.198
2014-05-27,0.4299
2014-05-28,-0.2963
2014-05-29,0.4954
2014-05-30,3.3848
2014-06-02,-0.5722
2014-06-03,2.9412000000000003
2014-06-04,0.2484
2014-06-05,0.4027
2014-06-06,1.0799
2014-06-09,2.2894
2014-06-10,-0.5372
2014-06-11,-0.03
2014-06-12,2.7611
2014-06-13,-0.4089
2014-06-16,-0.088
2014-06-17,0.0881
2014-06-18,-1.437
2014-06-19,0.5951
2014-06-20,1.538
2014-06-23,3.4955
2014-06-24,-1.5198
2014-06-25,-1.7719
2014-06-26,0.5237
2014-06-27,-3.9074
2014-06-30,1.2349
2014-07-01,-0.0298
2014-07-02,0.3274
2014-07-03,-0.2373
2014-07-07,-2.7357
2014-07-08,-4.1577
2014-07-09,-1.5949
2014-07-10,-0.778
2014-07-11,-0.9474
2014-07-14,0.3298
2014-07-15,0.6903
2014-07-16,0.653
2014-07-17,-0.8758
2014-07-18,2.9777
2014-07-21,4.4169
2014-07-22,2.2824
2014-07-23,0.8628
2014-07-24,2.0059
2014-07-25,-2.2267
2014-07-28,-2.1
2014-07-29,-1.0272
2014-07-30,4.0293
2014-07-31,-0.0587
2014-08-01,-0.0294
2014-08-04,0.3231
2014-08-05,-0.7026
2014-08-06,0.1179
2014-08-07,-0.4122
2014-08-08,0.5618
2014-08-11,0.2058
2014-08-12,0.4695
2014-08-13,2.3949
2014-08-14,-0.5705
2014-08-15,0.2869
2014-08-18,-0.2574
2014-08-19,-1.4626000000000001
2014-08-20,-2.532
2014-08-21,2.2693
2014-08-22,0.0587
2014-08-25,0.499
2014-08-26,1.986
2014-08-27,0.4009
2014-08-28,0.2852
2014-08-29,3.2139
2014-09-02,-1.0747
2014-09-03,-2.0891
2014-09-04,-0.5121
2014-09-05,0.4289
