ticker,AMBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-02,1.0
2013-05-03,0.9901
2013-05-06,5.098
2013-05-07,4.3843
2013-05-08,9.2493
2013-05-09,-0.818
2013-05-10,-1.4845
2013-05-13,-3.558
2013-05-14,-0.8681
2013-05-15,-0.394
2013-05-16,4.044
2013-05-17,9.9704
2013-05-20,4.3411
2013-05-21,-1.4359
2013-05-22,-3.1378
2013-05-23,-2.2754
2013-05-24,-2.3283
2013-05-28,1.1717
2013-05-29,-0.3994
2013-05-30,1.2429999999999999
2013-05-31,-0.198
2013-06-03,1.5079
2013-06-04,-0.0391
2013-06-05,-0.4693
2013-06-06,0.943
2013-06-07,0.2336
2013-06-10,1.2427
2013-06-11,-2.2248
2013-06-12,-2.0792
2013-06-13,0.5609
2013-06-14,-2.6295
2013-06-17,1.6367
2013-06-18,0.0
2013-06-19,0.4428
2013-06-20,-2.2445
2013-06-21,-3.116
2013-06-24,-4.2742
2013-06-25,1.061
2013-06-26,-0.6999
2013-06-27,3.0837
2013-06-28,1.8376000000000001
2013-07-01,0.2098
2013-07-02,-2.6801
2013-07-03,-1.42
2013-07-05,-2.2261
2013-07-08,5.0893
2013-07-09,-1.1895
2013-07-10,-0.7309
2013-07-11,0.9528
2013-07-12,2.4882
2013-07-15,0.4186
2013-07-16,2.5427
2013-07-17,1.4634
2013-07-18,1.4824
2013-07-19,-1.3818
2013-07-22,0.0
2013-07-23,-0.3203
2013-07-24,0.2811
2013-07-25,0.0801
2013-07-26,0.12
2013-07-29,-2.1183
2013-07-30,-0.4492
2013-07-31,2.7071
2013-08-01,1.5575
2013-08-02,-2.2808
2013-08-05,0.3219
2013-08-06,-1.1231
2013-08-07,2.0284
2013-08-08,-0.5964
2013-08-09,-1.12
2013-08-12,-1.9417
2013-08-13,-0.165
2013-08-14,1.405
2013-08-15,-2.771
2013-08-16,-1.0478
2013-08-19,-0.8471
2013-08-20,-0.0427
2013-08-21,-1.453
2013-08-22,1.5178
2013-08-23,-1.7941
2013-08-26,0.6525
2013-08-27,-1.3397000000000001
2013-08-28,-0.0438
2013-08-29,-1.5337
2013-08-30,-1.3796
2013-09-03,0.9025
2013-09-04,-2.0572
2013-09-05,-2.3288
2013-09-06,0.7013
2013-09-09,-3.0176
2013-09-10,-5.1221
2013-09-11,-5.0454
2013-09-12,2.9224
2013-09-13,3.3557
2013-09-16,-0.05
2013-09-17,0.1499
2013-09-18,0.1996
2013-09-19,-1.8426
2013-09-20,0.5074
