ticker,WORX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-07,10.9785
2016-10-10,-6.4516
2016-10-11,-5.2874
2016-10-12,7.767
2016-10-13,-5.1802
2016-10-14,-4.9881
2016-10-17,0.25
2016-10-18,-0.4988
2016-10-19,1.7544
2016-10-20,-1.5316999999999998
2016-10-21,-1.1241
2016-10-24,-9.939
2016-10-25,5.3371
2016-10-26,2.6667
2016-10-27,0.2597
2016-10-28,3.3679
2016-10-31,-0.5044
2016-11-01,-1.7601
2016-11-02,0.7692
2016-11-03,3.0534
2016-11-04,3.7037
2016-11-07,9.5238
2016-11-08,-3.4783
2016-11-09,-8.5586
2016-11-10,0.0
2016-11-11,2.4631
2016-11-14,-2.1635
2016-11-15,2.2113
2016-11-16,-0.8413
2016-11-17,3.0303
2016-11-18,0.4706
2016-11-21,-2.3419
2016-11-22,-2.1583
2016-11-23,-5.6373
2016-11-25,6.7532
2016-11-28,-2.6764
2016-11-29,0.25
2016-11-30,4.2394
2016-12-01,-5.2632
2016-12-02,3.2828
2016-12-05,-2.2005
2016-12-06,-2.25
2016-12-07,-1.023
2016-12-08,-0.7752
2016-12-09,-1.0417
2016-12-12,3.9474
2016-12-13,1.2658
2016-12-14,-0.25
2016-12-15,-0.2506
2016-12-16,-10.3015
2016-12-19,-0.2801
2016-12-20,4.7472
2016-12-21,-1.5822
2016-12-22,-1.6349
2016-12-23,-1.662
2016-12-27,0.0
2016-12-28,-2.8169
2016-12-29,-1.4493
2016-12-30,7.0588
2017-01-03,3.022
2017-01-04,-0.5333
2017-01-05,2.681
2017-01-06,-0.2611
2017-01-09,1.4169
2017-01-10,2.4715
2017-01-11,-2.2639
2017-01-12,-0.7732
2017-01-13,-1.039
2017-01-17,-1.5748
2017-01-18,2.6667
2017-01-19,0.5195
2017-01-20,-3.1008
2017-01-23,0.0
2017-01-24,-0.5333
2017-01-25,1.8767
2017-01-26,-1.9687000000000001
2017-01-27,-3.629
2017-01-30,-1.1142
2017-01-31,-2.5352
2017-02-01,2.6012
2017-02-02,1.1268
2017-02-03,-4.7354
2017-02-06,-1.1696
2017-02-07,1.1834
2017-02-08,-3.5088
2017-02-09,-0.303
2017-02-10,-10.6383
2017-02-13,8.5034
2017-02-14,-7.5235
2017-02-15,3.0508
2017-02-16,-5.2632
2017-02-17,5.9028
2017-02-21,-5.5738
2017-02-22,2.0833
2017-02-23,1.0204
2017-02-24,1.0101
2017-02-27,0.0
2017-02-28,-4.6667
2017-03-01,6.2937
