ticker,ABBY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-17,1566.6667
2012-09-18,0.0
2012-10-24,26.0
2012-11-06,3.1746
2012-11-07,-6.1538
2012-11-08,6.5574
2012-11-09,-1.5385
2012-11-13,3.125
2012-11-14,-24.2424
2012-11-15,20.0
2012-11-16,-3.3333
2012-11-19,-1.7241
2012-11-20,-1.7544
2012-11-21,0.0
2012-11-23,-10.7143
2012-11-26,-2.0
2012-11-27,0.0
2012-11-28,0.0
2012-11-30,0.0
2012-12-03,0.0
2012-12-04,0.0
2012-12-05,-59.1837
2012-12-06,25.0
2012-12-07,0.0
2012-12-10,-16.0
2012-12-12,10.0
2012-12-13,10.3896
2012-12-14,-5.098
2012-12-17,7.438
2012-12-18,-23.8462
2012-12-19,-11.6162
2012-12-20,25.7143
2012-12-21,-13.6364
2012-12-24,-21.0526
2012-12-26,-47.3333
2012-12-27,-17.7215
2012-12-28,7.6923
2012-12-31,-14.2857
2013-01-02,16.6667
2013-01-03,6.4286
2013-01-07,-30.2013
2013-01-08,15.3846
2013-01-09,0.0
2013-01-10,48.3333
2013-01-11,-10.1124
2013-01-14,0.0
2013-01-15,-1.25
2013-01-16,26.5823
2013-01-18,0.0
2013-01-22,-5.0
2013-01-23,0.0
2013-01-25,-15.7895
2013-01-28,-11.25
2013-01-31,0.0
2013-02-05,-56.338
2013-02-06,29.0323
2013-02-07,150.0
2013-02-08,0.0
2013-02-12,-50.0
2013-02-13,20.0
2013-02-14,16.6667
2013-02-15,0.0
2013-02-19,-28.5714
2013-02-20,60.0
2013-02-21,-13.125
2013-02-22,-25.1799
2013-02-25,-3.8462
2013-02-26,-20.0
2013-02-27,25.0
2013-03-01,-20.0
2013-03-04,0.0
2013-03-05,25.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,-2.0
2013-03-13,32.6531
2013-03-14,-3.0769
2013-03-15,-4.7619
2013-03-18,-48.3333
2013-03-19,3.2258
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-25,0.0
2013-03-27,25.0
2013-03-28,-32.5
2013-04-03,7.4074
2013-04-04,3.4483
2013-04-05,0.0
2013-04-11,0.0
2013-04-16,33.3333
2013-04-18,0.0
2013-04-22,0.0
2013-04-25,-25.0
2013-04-26,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-03,0.0
2013-05-07,3.3333
2013-05-17,-3.2258
2013-05-23,0.0
2013-06-03,0.0
