ticker,EMMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.7376
2000-01-04,-10.6044
2000-01-05,-4.8556
2000-01-06,1.6796
2000-01-07,1.9060000000000001
2000-01-10,0.8105
2000-01-11,-1.6078999999999999
2000-01-12,-2.6398
2000-01-13,8.1988
2000-01-14,-0.5967
2000-01-18,-0.12
2000-01-19,1.9231
2000-01-20,3.7736
2000-01-21,2.8409
2000-01-24,-3.7016999999999998
2000-01-25,0.3442
2000-01-26,-3.9594
2000-01-27,-3.9737999999999998
2000-01-28,-4.1538
2000-01-31,-8.4735
2000-02-01,0.3534
2000-02-02,4.3662
2000-02-03,7.7598
2000-02-04,6.7001
2000-02-07,-3.169
2000-02-08,3.7576
2000-02-09,-6.5421
2000-02-10,1.125
2000-02-11,6.2423
2000-02-14,3.025
2000-02-15,5.3642
2000-02-16,0.9646
2000-02-17,-6.5817
2000-02-18,-9.3182
2000-02-22,-2.005
2000-02-23,-1.8542
2000-02-24,-11.7915
2000-02-25,-0.9232
2000-02-28,-4.1372
2000-02-29,-9.1757
2000-03-01,-3.0822
2000-03-02,6.1837
2000-03-03,-1.1647
2000-03-06,-18.8552
2000-03-07,-9.5436
2000-03-08,12.3853
2000-03-09,26.1224
2000-03-10,-9.7087
2000-03-13,2.1505
2000-03-14,-2.1053
2000-03-15,-6.8100000000000005
2000-03-16,20.3846
2000-03-17,1.5974
2000-03-20,0.0
2000-03-21,3.4591
2000-03-22,5.7751
2000-03-23,-3.4483
2000-03-24,-0.5952
2000-03-27,3.2934
2000-03-28,3.3333
2000-03-29,1.1219999999999999
2000-03-30,-3.19
2000-03-31,6.5903
2000-04-03,-11.2903
2000-04-04,4.2424
2000-04-05,-2.4709
2000-04-06,6.7809
2000-04-07,1.8841999999999999
2000-04-10,-8.3562
2000-04-11,-2.5411
2000-04-12,0.0
2000-04-13,-4.6012
2000-04-14,-11.8971
2000-04-17,5.1095
2000-04-18,6.9444
2000-04-19,0.0
2000-04-20,-5.1948
2000-04-24,1.7123
2000-04-25,12.5421
2000-04-26,-6.8063
2000-04-27,8.1862
2000-04-28,0.8902
2000-05-01,4.2647
2000-05-02,-2.9619
2000-05-03,-0.2907
2000-05-04,1.6035
2000-05-05,0.0
2000-05-08,-23.099
2000-05-09,-10.2612
2000-05-10,-3.5343
2000-05-11,15.3017
2000-05-12,-4.6729
2000-05-15,9.2157
2000-05-16,6.2837
2000-05-17,-2.3649
2000-05-18,5.1903
2000-05-19,-4.9342
