ticker,ATKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-10,0.0
2016-06-13,1.5625
2016-06-14,-1.1077
2016-06-15,0.3734
2016-06-16,-0.186
2016-06-17,-0.6211
2016-06-20,3.25
2016-06-21,-2.1792
2016-06-22,1.4851
2016-06-23,2.1341
2016-06-24,-4.0597
2016-06-27,-1.4935
2016-06-28,1.3266
2016-06-29,0.0623
2016-06-30,-0.3115
2016-07-01,5.3125
2016-07-05,-2.73
2016-07-06,-2.5015
2016-07-07,0.1252
2016-07-08,0.0
2016-07-11,4.25
2016-07-12,1.4988000000000001
2016-07-13,-3.2487
2016-07-14,1.0379
2016-07-15,1.4502
2016-07-18,1.3103
2016-07-19,-0.3527
2016-07-20,-2.1239
2016-07-21,0.0
2016-07-22,0.6631
2016-07-25,-0.9581
2016-07-26,-1.9346999999999999
2016-07-27,-0.1233
2016-07-28,-2.3457
2016-07-29,-0.5689
2016-08-01,-2.7336
2016-08-02,1.4379
2016-08-03,4.0593
2016-08-04,1.6099
2016-08-05,1.3406
2016-08-08,4.3897
2016-08-09,1.7856999999999998
2016-08-10,-0.9621
2016-08-11,0.1143
2016-08-12,-0.2854
2016-08-15,1.0303
2016-08-16,0.7932
2016-08-17,-1.3491
2016-08-18,-0.6838
2016-08-19,-0.459
2016-08-22,4.0922
2016-08-23,-1.3843
2016-08-24,-2.3582
2016-08-25,0.6325
2016-08-26,-0.5143
2016-08-29,0.4021
2016-08-30,2.2311
2016-08-31,0.056
2016-09-01,0.3356
2016-09-02,0.8361
2016-09-06,0.3317
2016-09-07,-0.6061
2016-09-08,-0.1663
2016-09-09,-1.7213
2016-09-12,0.904
2016-09-13,-1.3437999999999999
2016-09-14,1.4188
2016-09-15,0.7834
2016-09-16,-0.111
2016-09-19,2.7237
2016-09-20,0.0
2016-09-21,0.5411
2016-09-22,0.1076
2016-09-23,0.1613
2016-09-26,-3.7574
2016-09-27,0.8366
2016-09-28,1.6593
2016-09-29,-0.4353
2016-09-30,2.4044
2016-10-03,2.0277
2016-10-04,-0.4184
2016-10-05,-0.4202
2016-10-06,0.5802
2016-10-07,0.9439
2016-10-10,0.4156
2016-10-11,-1.7589000000000001
2016-10-12,0.2106
2016-10-13,0.7882
2016-10-14,0.4692
2016-10-17,0.467
2016-10-18,0.2066
2016-10-19,-0.8247
2016-10-20,1.6112
2016-10-21,-1.5345
2016-10-24,0.987
2016-10-25,-1.6461000000000001
2016-10-26,-0.5753
2016-10-27,-0.4208
2016-10-28,0.5811
