ticker,YNGFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-15,97500.0
2005-04-19,-2.459
2005-04-20,5.8824
2005-04-22,-8.7302
2005-04-25,-11.3043
2005-04-26,7.8431
2005-04-28,-1.8182
2005-05-04,-25.0
2005-05-06,1.2346
2005-05-12,-15.8537
2005-05-16,-3.4783
2005-06-08,56.1562
2005-06-13,7.6923
2005-06-14,0.8929
2005-06-15,23.8938
2005-06-21,-13.5714
2005-06-27,20.6612
2005-07-19,-26.0274
2005-07-25,1.8519
2005-07-26,0.0
2005-07-27,-1.8182
2005-08-03,0.0
2005-08-22,11.1111
2005-08-30,-13.8333
2005-09-08,-20.6963
2005-09-12,4.1463
2005-09-14,5.3864
2005-09-16,-5.0
2005-10-13,16.9591
2005-10-26,4.0
2005-10-31,0.0
2005-11-17,5.7692
2005-11-22,16.3636
2005-12-09,-2.0313
2005-12-12,2.0734
2005-12-13,0.0
2005-12-14,0.7324
2005-12-19,-12.3606
2005-12-23,-4.4248
2005-12-28,-5.5556
2005-12-30,8.2353
2006-01-03,19.5652
2006-01-04,13.3333
2006-01-09,5.615
2006-01-10,-2.5316
2006-01-25,-2.5974
2006-01-30,-1.4667
2006-02-06,2.8417
2006-02-07,-3.4211
2006-02-14,2.1798
2006-02-23,-20.0
2006-02-27,21.6667
2006-02-28,-1.4212
2006-03-03,0.0521
2006-03-07,4.184
2006-03-08,-2.9328
2006-03-14,20.8584
2006-03-17,-5.6818
2006-03-21,6.6265
2006-03-23,-0.565
2006-03-24,-1.1364
2006-03-27,4.5977
2006-03-28,8.2418
2006-03-29,-1.0152
2006-03-30,1.0256
2006-04-03,8.9657
2006-04-12,-4.9671
2006-04-13,10.9926
2006-04-17,1.2532
2006-04-18,-1.423
2006-04-19,6.6372
2006-04-20,-1.5197
2006-04-21,-4.777
2006-04-24,6.1947
2006-04-25,29.8021
2006-04-26,-13.9475
2006-04-27,17.0708
2006-04-28,3.6763
2006-05-01,0.0154
2006-05-02,-1.6671
2006-05-03,-5.625
2006-05-04,5.476
2006-05-05,-2.8607
2006-05-08,-6.601
2006-05-09,-1.7301
2006-05-10,-8.4507
2006-05-11,5.6154
2006-05-12,-6.7735
2006-05-15,-6.0156
2006-05-16,-11.8869
2006-05-17,-1.0024
2006-05-18,13.4008
2006-05-19,-2.521
2006-05-23,-9.4828
2006-05-24,14.7619
2006-05-30,-10.4564
2006-05-31,3.012
2006-06-05,-9.1318
2006-06-06,-1.9802
2006-06-07,-1.0101
