ticker,STNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-31,-3.3846
2010-04-01,-0.0796
2010-04-05,-0.3187
2010-04-06,-1.9184999999999999
2010-04-07,1.3855
2010-04-08,-1.2058
2010-04-09,0.4882
2010-04-12,0.9717
2010-04-13,1.0425
2010-04-14,0.7143
2010-04-15,1.182
2010-04-16,-0.1558
2010-04-19,-2.2621
2010-04-20,1.5962
2010-04-21,0.2357
2010-04-22,-0.1567
2010-04-23,-1.4914
2010-04-26,0.239
2010-04-27,-0.5564
2010-04-28,3.1175
2010-04-29,0.7752
2010-04-30,-3.8462
2010-05-03,-2.4
2010-05-04,-5.4918
2010-05-05,-5.2905
2010-05-06,-1.2821
2010-05-07,1.4842
2010-05-10,6.6728
2010-05-11,-3.4276
2010-05-12,5.4126
2010-05-13,-3.1987
2010-05-14,-3.3913
2010-05-17,0.27
2010-05-18,2.5135
2010-05-19,-1.4886
2010-05-20,0.0
2010-05-21,0.0
2010-05-24,7.1111
2010-05-25,-3.3195
2010-05-26,-0.9442
2010-05-27,0.0867
2010-05-28,-0.4329
2010-06-01,-4.1739
2010-06-02,-2.1779
2010-06-03,0.5566
2010-06-04,-1.5683
2010-06-07,-1.4995
2010-06-08,-0.666
2010-06-09,-0.7663
2010-06-10,0.1931
2010-06-11,0.0241
2010-06-14,15.1938
2010-06-15,-1.4214
2010-06-16,-3.1383
2010-06-17,-3.7653
2010-06-18,0.091
2010-06-21,-1.5455
2010-06-22,-3.6010999999999997
2010-06-23,4.4061
2010-06-24,6.6972000000000005
2010-06-25,1.4617
2010-06-28,-2.1186
2010-06-29,-3.29
2010-06-30,2.5067
2010-07-01,-2.5328
2010-07-02,-3.4946
2010-07-06,-1.7642
2010-07-07,3.4972
2010-07-08,1.1872
2010-07-09,3.5199
2010-07-12,-1.5693000000000001
2010-07-13,-2.5686
2010-07-14,-1.9091
2010-07-15,-0.9268
2010-07-16,-2.5257
2010-07-19,0.3839
2010-07-20,4.7801
2010-07-21,-2.8285
2010-07-22,7.6995000000000005
2010-07-23,0.959
2010-07-26,-0.3454
2010-07-27,-0.26
2010-07-28,-4.2572
2010-07-29,-0.4537
2010-07-30,-0.1823
2010-08-02,-0.6393
2010-08-03,1.011
2010-08-04,2.9116999999999997
2010-08-05,-2.5641
2010-08-06,-2.7223
2010-08-09,3.8246
2010-08-10,-2.336
2010-08-11,-3.5879
2010-08-12,1.3359
2010-08-13,-1.1299
2010-08-16,1.3333
2010-08-17,2.5376
