ticker,CTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-28,-21.3333
2018-10-01,1.6949
2018-10-02,-4.5833
2018-10-03,2.0742
2018-10-04,-3.7433
2018-10-05,1.1111
2018-10-08,-3.6264
2018-10-09,-4.333
2018-10-10,-8.4625
2018-10-11,1.5625
2018-10-12,0.0
2018-10-15,-2.5641
2018-10-16,6.3158
2018-10-17,0.6188
2018-10-18,-3.936
2018-10-19,-3.4571
2018-10-22,1.7241
2018-10-23,-2.2164
2018-10-24,-4.8
2018-10-25,0.8403
2018-10-26,-2.7778
2018-10-29,-11.4286
2018-10-30,8.0645
2018-10-31,1.4925
2018-11-01,5.8824
2018-11-02,5.5556
2018-11-05,2.2368
2018-11-06,4.3758
2018-11-07,2.3428
2018-11-08,-4.9398
2018-11-09,-1.7744
2018-11-12,-3.2258
2018-11-13,2.6667
2018-11-14,-1.5584
2018-11-15,-7.6517
2018-11-16,-8.0
2018-11-19,-10.7143
2018-11-20,2.6087
2018-11-21,-1.6949
2018-11-23,-3.2759
2018-11-26,14.795
2018-11-27,-2.4845
2018-11-28,9.8726
2018-11-29,1.4493
2018-11-30,0.0
2018-12-03,7.0
2018-12-04,-3.8718
2018-12-06,2.6389
2018-12-07,-0.5413
2018-12-10,1.9048
2018-12-11,6.1415
2018-12-12,1.3836
2018-12-13,-2.1824
2018-12-14,4.2605
2018-12-17,-2.0681
2018-12-18,2.8571
2018-12-19,0.3623
2018-12-20,-1.6846999999999999
2018-12-21,-2.3256
2018-12-24,1.5038
2018-12-26,0.0
2018-12-27,0.9877
2018-12-28,2.5672
2018-12-31,-0.8343
2019-01-02,-1.4423
2019-01-03,1.7073
2019-01-04,10.1918
2019-01-07,2.2851
2019-01-08,1.0638
2019-01-09,2.6316
2019-01-10,28.2051
2019-01-11,4.0
2019-01-14,-5.5385
2019-01-15,0.1629
2019-01-16,-6.0976
2019-01-17,-2.9436999999999998
2019-01-18,1.1597
2019-01-22,6.4374
2019-01-23,-5.3853
2019-01-24,3.3275
2019-01-25,-2.1186
2019-01-28,-4.1558
2019-01-29,4.4264
2019-01-30,2.0761
2019-01-31,-1.1017
2019-02-01,-2.7420999999999998
2019-02-04,1.3216
2019-02-05,-1.2174
2019-02-06,0.0
2019-02-07,0.7923
2019-02-08,-0.4367
2019-02-11,0.4386
2019-02-12,0.6114
2019-02-13,-0.0868
2019-02-14,-0.4344
2019-02-15,0.349
2019-02-19,-23.913
2019-02-20,6.0571
2019-02-21,-2.8017
