ticker,FOCS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-26,13.7879
2018-07-27,1.225
2018-07-30,5.5775
2018-07-31,1.5201
2018-08-01,-1.8164
2018-08-02,-3.1
2018-08-03,-0.4644
2018-08-06,2.5143
2018-08-07,1.1631
2018-08-08,-0.4499
2018-08-09,1.9332
2018-08-10,0.7389
2018-08-13,0.0489
2018-08-14,-1.393
2018-08-15,-1.5613000000000001
2018-08-16,-3.1219
2018-08-17,0.052
2018-08-20,-4.026
2018-08-21,6.3599
2018-08-22,1.2723
2018-08-23,-0.7035
2018-08-24,-0.4555
2018-08-27,1.2456
2018-08-28,2.9375
2018-08-29,3.122
2018-08-30,-0.1892
2018-08-31,-0.2607
2018-09-04,8.6719
2018-09-05,4.307
2018-09-06,-0.4611
2018-09-07,-1.2213
2018-09-10,0.1705
2018-09-11,-1.4046
2018-09-12,0.6044
2018-09-13,0.6222
2018-09-14,-3.9659
2018-09-17,2.1758
2018-09-18,1.6297000000000001
2018-09-19,-0.9408
2018-09-20,1.2086999999999999
2018-09-21,1.6208
2018-09-24,1.5739999999999998
2018-09-25,-4.1736
2018-09-26,2.5658
2018-09-27,-3.91
2018-09-28,3.8285
2018-10-01,-0.0421
2018-10-02,-2.4241
2018-10-03,1.577
2018-10-04,-1.8928
2018-10-05,-1.7776
2018-10-08,-2.6043
2018-10-09,1.1104
2018-10-10,-5.1098
2018-10-11,-2.5744
2018-10-12,-1.6726999999999999
2018-10-15,1.6519
2018-10-16,3.1045
2018-10-17,-0.8469
2018-10-18,-0.1423
2018-10-19,-0.594
2018-10-22,-0.2151
2018-10-23,-2.5629
2018-10-24,-4.1298
2018-10-25,3.2051
2018-10-26,-0.3975
2018-10-29,-0.3742
2018-10-30,-3.1047
2018-10-31,-1.292
2018-11-01,-0.2094
2018-11-02,0.8657
2018-11-05,1.0923
2018-11-06,-0.9519
2018-11-07,1.1429
2018-11-08,0.7961
2018-11-09,-2.6752000000000002
2018-11-12,-4.8953
2018-11-13,-11.9461
2018-11-14,-4.9703
2018-11-15,2.3026
2018-11-16,0.3859
2018-11-19,-0.1602
2018-11-20,-0.2246
2018-11-21,-0.4502
2018-11-23,-0.3553
2018-11-26,0.2593
2018-11-27,-1.7459
2018-11-28,2.6983
2018-11-29,-3.5566
2018-11-30,2.7243
2018-12-03,1.6494
2018-12-04,-7.636
2018-12-06,-4.7193000000000005
2018-12-07,-0.7592
2018-12-10,1.275
2018-12-11,-0.5396
2018-12-12,2.4955
