ticker,SKX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-1.6393
2000-01-05,-5.0
2000-01-06,-1.7544
2000-01-07,3.5714
2000-01-10,-5.1724
2000-01-11,-1.8182
2000-01-12,0.0
2000-01-13,-1.8519
2000-01-14,0.0
2000-01-18,1.8868
2000-01-19,-1.8519
2000-01-20,5.6604
2000-01-21,0.0
2000-01-24,23.2143
2000-01-25,0.0
2000-01-26,-2.8986
2000-01-27,-2.9851
2000-01-28,-4.6154
2000-01-31,1.6129
2000-02-01,0.0
2000-02-02,-3.1746
2000-02-03,4.918
2000-02-04,12.5
2000-02-07,9.7222
2000-02-08,-1.2658
2000-02-09,1.2821
2000-02-10,16.4557
2000-02-11,5.4348
2000-02-14,24.7423
2000-02-15,-7.438
2000-02-16,-8.0357
2000-02-17,-3.8834999999999997
2000-02-18,1.0101
2000-02-22,5.0
2000-02-23,2.8571
2000-02-24,-0.9259
2000-02-25,-5.6075
2000-02-28,0.0
2000-02-29,-1.9802
2000-03-01,1.0101
2000-03-02,5.0
2000-03-03,6.6667
2000-03-06,-5.3571
2000-03-07,-7.5472
2000-03-08,-3.0612
2000-03-09,-4.2105
2000-03-10,1.0989
2000-03-13,0.0
2000-03-14,1.087
2000-03-15,4.3011
2000-03-16,1.0309
2000-03-17,4.0816
2000-03-20,4.902
2000-03-21,-5.6075
2000-03-22,3.9604
2000-03-23,0.9524
2000-03-24,8.4906
2000-03-27,-1.7391
2000-03-28,0.885
2000-03-29,-2.6316
2000-03-30,2.7027
2000-03-31,-0.8772
2000-04-03,23.8938
2000-04-04,-2.1429
2000-04-05,-4.3796
2000-04-06,3.8167999999999997
2000-04-07,2.9412000000000003
2000-04-10,1.4285999999999999
2000-04-11,0.0
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,-12.6761
2000-04-17,1.6129
2000-04-18,2.3810000000000002
2000-04-19,3.876
2000-04-20,4.4776
2000-04-24,0.7143
2000-04-25,2.1277
2000-04-26,14.5833
2000-04-27,8.4848
2000-04-28,1.1173
2000-05-01,-1.105
2000-05-02,0.0
2000-05-03,-5.5866
2000-05-04,4.7337
2000-05-05,-0.565
2000-05-08,5.6818
2000-05-09,-1.0753
2000-05-10,0.0
2000-05-11,4.8913
2000-05-12,5.6995000000000005
2000-05-15,4.4118
2000-05-16,-2.3474
2000-05-17,-4.3269
2000-05-18,4.0201
2000-05-19,-1.9324
2000-05-22,-6.4039
2000-05-23,1.0526
2000-05-24,-1.0417
