ticker,AFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-18,3.4348
2016-03-21,-0.9057
2016-03-22,-7.9208
2016-03-23,-0.9098
2016-03-24,6.01
2016-03-28,3.5039
2016-03-29,2.5865
2016-03-30,1.5944
2016-03-31,-3.6496
2016-04-01,-2.803
2016-04-04,-6.4692
2016-04-05,21.0
2016-04-06,-0.9642
2016-04-07,-1.3908
2016-04-08,-2.6093
2016-04-11,-2.1723
2016-04-12,-0.5181
2016-04-13,4.3155
2016-04-14,0.5706
2016-04-15,0.0
2016-04-18,-0.2837
2016-04-19,0.4979
2016-04-20,0.1415
2016-04-21,-0.3534
2016-04-22,0.7801
2016-04-25,3.8705
2016-04-26,3.9295
2016-04-27,-1.7601
2016-04-28,-3.4506
2016-04-29,0.0687
2016-05-02,-0.0687
2016-05-03,0.2062
2016-05-04,1.7833
2016-05-05,2.8302
2016-05-06,1.3761
2016-05-09,4.0078
2016-05-10,-0.808
2016-05-11,-1.7544
2016-05-12,0.4464
2016-05-13,2.0317
2016-05-16,-1.9291
2016-05-17,2.665
2016-05-18,1.9778
2016-05-19,-2.9697
2016-05-20,-0.9369
2016-05-23,0.9458
2016-05-24,9.619
2016-05-25,-4.6154
2016-05-26,-2.0908
2016-05-27,5.0031
2016-05-31,-3.6026
2016-06-01,3.0741
2016-06-02,5.2047
2016-06-03,2.7793
2016-06-06,2.4878
2016-06-07,-0.2639
2016-06-08,1.3228
2016-06-09,0.47
2016-06-10,-5.8212
2016-06-13,-2.0419
2016-06-14,1.2958
2016-06-15,0.3893
2016-06-16,1.8283
2016-06-17,-1.0881
2016-06-20,1.8702
2016-06-21,-0.432
2016-06-22,-4.1757
2016-06-23,0.6791
2016-06-24,-1.4615
2016-06-27,-4.1643
2016-06-28,-0.5952
2016-06-29,0.9581
2016-06-30,0.5338
2016-07-01,-0.767
2016-07-05,-1.0702
2016-07-06,2.2236
2016-07-07,0.1764
2016-07-08,3.5798
2016-07-11,4.5892
2016-07-12,3.0878
2016-07-13,0.1576
2016-07-14,-1.4689999999999999
2016-07-15,0.3727
2016-07-18,-1.061
2016-07-19,-0.6434
2016-07-20,4.0475
2016-07-21,1.0892
2016-07-22,-1.0775
2016-07-25,0.0
2016-07-26,1.1411
2016-07-27,2.1026
2016-07-28,0.5023
2016-07-29,-0.3998
2016-08-01,0.1505
2016-08-02,-2.8557
2016-08-03,-0.0516
2016-08-04,-2.6316
2016-08-05,0.318
2016-08-08,-0.5283
2016-08-09,0.0531
