ticker,ARPO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-10,-0.8333
2017-08-11,0.0
2017-08-15,1.6806999999999999
2017-08-18,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-28,0.0
2017-08-31,-1.6529
2017-09-01,1.6806999999999999
2017-09-05,0.0
2017-09-07,0.0
2017-09-08,-0.8264
2017-09-12,0.8333
2017-09-13,-2.1488
2017-09-14,5.5743
2017-09-15,0.0
2017-09-18,0.0
2017-09-19,-0.8
2017-09-20,0.8065
2017-09-21,0.8
2017-09-22,3.1746
2017-09-25,-3.3846
2017-09-26,2.9538
2017-09-28,-0.2397
2017-09-29,-6.9767
2017-10-02,5.0
2017-10-03,0.7937
2017-10-04,-1.5748
2017-10-05,0.8
2017-10-06,0.0
2017-10-09,0.0
2017-10-10,4.7619
2017-10-11,-5.303
2017-10-12,0.8
2017-10-13,-0.7937
2017-10-16,-4.8
2017-10-17,-3.3613
2017-10-18,4.3478
2017-10-20,-0.8333
2017-11-01,0.8403
2017-11-03,1.6667
2017-11-08,-1.6393
2017-11-09,-4.1667
2017-11-10,0.0
2017-11-13,0.0
2017-11-14,-4.3478
2017-11-17,-9.0909
2017-11-20,0.0
2017-11-21,-5.0
2017-11-24,-15.7895
2017-11-27,25.0
2017-11-28,10.0
2017-11-30,-4.5455
2017-12-01,-4.7619
2017-12-11,10.0
2017-12-20,-7.4545
2017-12-26,-1.7682
2017-12-29,-5.0
2018-01-03,5.2632
2018-01-04,-1.0
2018-01-05,-1.0101
2018-01-08,2.0408
2018-01-09,0.0
2018-01-10,-1.0
2018-01-11,0.0
2018-01-12,-8.8889
2018-01-17,3.1042
2018-01-19,1.0753
2018-01-22,0.0
2018-01-23,1.0638
2018-01-24,5.2632
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,-6.2
2018-01-30,6.6098
2018-01-31,-0.2
2018-02-01,-0.2004
2018-02-02,0.0
2018-02-05,-1.8072
2018-02-07,2.2495
2018-02-08,-2.0
2018-02-09,1.8367
2018-02-12,0.2004
2018-02-13,-5.0
2018-02-14,-3.1579
2018-02-15,0.0
2018-02-16,-2.1739
2018-02-20,-2.2222
2018-02-21,7.9545
2018-02-22,-3.5095
2018-02-23,-1.8175
2018-02-26,7.7778
2018-02-27,-8.2474
2018-02-28,10.1124
2018-03-01,0.0
2018-03-02,-6.1224
2018-03-05,-1.087
2018-03-06,-4.3956
2018-03-07,-3.4483
2018-03-08,8.3333
2018-03-09,-2.1978
