ticker,THR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-05,2.3333
2011-05-06,4.2345
2011-05-09,-0.2344
2011-05-10,1.4096
2011-05-11,-0.3861
2011-05-12,-1.7054
2011-05-13,0.6309
2011-05-16,1.0972
2011-05-17,-2.3256
2011-05-18,1.1905000000000001
2011-05-19,-0.3922
2011-05-20,-1.4173
2011-05-23,-4.393
2011-05-24,2.005
2011-05-25,0.7371
2011-05-26,-0.6504
2011-05-27,-0.8183
2011-05-31,0.6601
2011-06-01,0.8197
2011-06-02,1.0569
2011-06-03,-0.2414
2011-06-06,-1.5323
2011-06-07,0.5733
2011-06-08,-3.1759
2011-06-09,1.7662
2011-06-10,-0.9917
2011-06-13,4.0067
2011-06-14,-0.4815
2011-06-15,-6.6129
2011-06-16,3.4542
2011-06-17,0.6678
2011-06-20,-3.7313
2011-06-21,0.0861
2011-06-22,-1.8072
2011-06-23,0.1753
2011-06-24,1.7498
2011-06-27,3.5254
2011-06-28,0.0
2011-06-29,-0.4983
2011-06-30,0.1669
2011-07-01,0.1667
2011-07-05,1.3311
2011-07-06,-0.4926
2011-07-07,4.7855
2011-07-08,0.0787
2011-07-11,2.7537000000000003
2011-07-12,3.1394
2011-07-13,0.8909
2011-07-14,4.1943
2011-07-15,5.2966
2011-07-18,-3.0181
2011-07-19,2.7663
2011-07-20,0.4711
2011-07-21,2.2103
2011-07-22,-2.2936
2011-07-25,-2.6828
2011-07-26,-4.1350999999999996
2011-07-27,-2.0848
2011-07-28,1.2482
2011-07-29,1.5228000000000002
2011-08-01,-0.3571
2011-08-02,-2.3656
2011-08-03,-1.0279
2011-08-04,3.1157
2011-08-05,0.5036
2011-08-08,-10.1646
2011-08-09,3.5857
2011-08-10,-2.3077
2011-08-11,5.9843
2011-08-12,1.0401
2011-08-15,0.7353
2011-08-16,-0.365
2011-08-17,2.8571
2011-08-18,-3.7749
2011-08-19,-3.775
2011-08-22,0.6923
2011-08-23,3.1322
2011-08-24,3.5556
2011-08-25,-2.289
2011-08-26,0.7321
2011-08-29,12.6453
2011-08-30,-0.8387
2011-08-31,1.3663
2011-09-01,0.1284
2011-09-02,-1.7949000000000002
2011-09-06,2.8068
2011-09-07,1.4603
2011-09-08,-0.5006
2011-09-09,-5.6604
2011-09-12,-2.1333
2011-09-13,5.4496
2011-09-14,-0.2584
2011-09-15,2.9793
2011-09-16,0.6289
2011-09-19,-2.4375
2011-09-20,1.025
2011-09-21,0.4439
2011-09-22,-1.8308
