ticker,TSMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-09,-39.6226
2013-04-10,28.125
2013-04-12,58.5366
2013-04-16,-46.1538
2013-04-17,29.1429
2013-04-18,12.8319
2013-04-19,0.0
2013-04-25,-33.3333
2013-04-30,70.5882
2013-05-01,-50.0
2013-05-23,72.4138
2013-05-28,0.0
2013-05-29,-42.0
2013-05-30,-31.0345
2013-06-04,50.0
2013-06-06,-33.3333
2013-06-12,0.0
2013-06-21,0.0
2013-06-24,5.0
2013-06-25,-14.2857
2013-06-26,5.5556
2013-06-27,-5.2632
2013-06-28,-61.1111
2013-07-01,42.8571
2013-07-03,-35.0
2013-07-09,7.6923
2013-07-11,0.0
2013-07-12,-2.8571
2013-07-18,0.1838
2013-07-19,0.0
2013-07-22,32.1101
2013-07-23,0.0
2013-07-30,94.4444
2013-07-31,-14.2857
2013-08-13,-40.0
2013-08-20,-22.2222
2013-08-21,0.0
2013-08-23,5.7143
2013-08-29,91.8919
2013-09-04,-36.6197
2013-09-06,0.0
2013-09-10,-11.1111
2013-09-11,0.0
2013-09-26,3.75
2013-10-02,25.3012
2013-10-22,-23.0769
2013-10-29,0.0
2013-10-31,-2.5
2013-11-01,-4.4872
2013-11-12,-4.0268
2013-11-13,-30.0699
2013-11-22,-60.0
2013-11-27,50.0
2013-12-04,-16.6667
2013-12-06,-20.0
2013-12-10,-25.0
2013-12-13,-33.3333
2013-12-17,0.0
2013-12-20,-25.0
2013-12-23,-6.6667
2013-12-24,-26.7857
2013-12-26,1.2195
2013-12-30,-3.6145
2013-12-31,1060.0
2014-01-02,-22.4138
2014-01-03,-42.6389
2014-01-06,-29.0557
2014-01-07,8.532399999999999
2014-01-08,-24.5283
2014-01-09,13.3333
2014-01-10,-8.8235
2014-01-13,-4.0323
2014-01-14,-12.605
2014-01-15,0.0
2014-01-16,15.3846
2014-01-21,-17.9167
2014-01-22,51.269
2014-01-23,1.0067
2014-01-24,-15.6146
2014-01-27,-22.0472
2014-01-28,-11.1111
2014-01-29,-3.4091
2014-01-30,-30.5882
2014-01-31,64.4068
2014-02-03,21.134
2014-02-04,-56.5957
2014-02-05,56.8627
2014-02-06,1.25
2014-02-07,-9.2593
2014-02-10,-3.4013999999999998
2014-02-11,-26.7606
2014-02-12,-28.8462
2014-02-13,-10.8108
2014-02-14,33.3333
2014-02-18,23.8636
2014-02-19,5.5046
2014-02-20,-16.5217
2014-02-21,-11.4583
2014-02-24,-17.647100000000002
2014-02-25,0.0
