ticker,ORCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-18,1.2418
2019-07-19,0.1291
2019-07-22,0.9026
2019-07-23,-0.3195
2019-07-24,-0.3205
2019-07-25,0.1286
2019-07-26,0.1285
2019-07-29,0.0
2019-07-30,0.449
2019-07-31,1.2133
2019-08-01,0.3155
2019-08-02,0.1258
2019-08-05,-1.3819
2019-08-06,0.1274
2019-08-07,0.1272
2019-08-08,1.0801
2019-08-09,-0.0629
2019-08-12,-0.3145
2019-08-13,0.8833
2019-08-14,-1.626
2019-08-15,-0.2543
2019-08-16,-0.0637
2019-08-19,1.5306
2019-08-20,-0.1884
2019-08-21,0.3147
2019-08-22,0.0
2019-08-23,-0.5646
2019-08-26,0.8202
2019-08-27,-0.438
2019-08-28,0.44
2019-08-29,-0.6258
2019-08-30,0.1259
2019-09-03,0.4403
2019-09-04,0.3757
2019-09-05,-0.4991
2019-09-06,1.8182
2019-09-09,-1.17
2019-09-10,-0.6854
2019-09-11,-0.2509
2019-09-12,1.5723
2019-09-13,1.4861
2019-09-16,3.5998
2019-09-17,-0.1767
2019-09-18,4.4248
2019-09-19,1.9209
2019-09-20,-6.3747
2019-09-23,-4.4997
2019-09-24,1.3639000000000001
2019-09-25,1.5291000000000001
2019-09-26,-1.8675000000000002
2019-09-27,-0.1228
2019-09-30,-1.0665
2019-10-01,-0.2536
2019-10-02,1.3986
2019-10-03,1.1285
2019-10-04,0.806
2019-10-07,0.5535
2019-10-08,-1.1621
2019-10-09,0.9282
2019-10-10,2.5751
2019-10-11,-0.1195
2019-10-14,1.1969
2019-10-15,0.2365
2019-10-16,0.118
2019-10-17,0.1179
2019-10-18,-0.1766
2019-10-21,-0.5896
2019-10-22,0.949
2019-10-23,-0.1175
2019-10-24,-0.1176
2019-10-25,-2.0024
2019-10-28,-0.5409
2019-10-29,1.6314
2019-10-30,0.4756
2019-10-31,1.1834
2019-11-01,0.4678
2019-11-04,0.1164
2019-11-05,0.5814
2019-11-06,0.8671
2019-11-07,0.2865
2019-11-08,1.1429
2019-11-11,0.1695
2019-11-12,0.7332
2019-11-13,0.9518
2019-11-14,0.9429
2019-11-15,-3.2967
2019-11-18,2.2727
2019-11-19,-0.6111
2019-11-20,-1.3415
2019-11-21,-0.17
2019-11-22,0.5675
2019-11-25,-0.1129
2019-11-26,1.8643999999999998
2019-11-27,-0.6101
2019-11-29,1.0603
2019-12-02,-0.6074
2019-12-03,-1.3333
2019-12-04,0.8446
2019-12-05,0.5025
