ticker,COSO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-20,-7.5
2018-10-19,-40.5405
2018-10-25,9.0909
2018-12-04,0.0
2018-12-17,-23.3333
2018-12-18,8.6957
2018-12-19,-2.5
2018-12-20,12.8205
2018-12-21,0.0
2018-12-26,-8.0909
2019-02-07,23.64
2019-02-08,0.0
2019-02-14,0.8
2019-03-05,11.1111
2019-04-30,-10.7143
2019-05-14,12.0
2019-06-06,-12.5
2019-06-07,0.0
2019-06-11,-2.0408
2019-07-24,2.5
2019-08-16,0.4065
2019-08-19,1.2146
2019-08-22,-1.2
2019-09-06,-6.8826
2019-09-11,5.5652
2019-09-17,1.7298
2019-09-18,-2.834
2019-09-19,0.4167
2019-09-30,0.0
2019-10-07,-4.4813
2019-10-08,0.4344
2019-10-10,0.3893
2019-10-11,0.0431
2019-10-16,1.6364999999999998
2019-10-18,-2.5423999999999998
2019-10-25,2.2609
2019-11-05,0.3401
2019-11-07,0.1695
2019-11-14,1.5228000000000002
2019-11-18,-0.6667
2019-11-22,2.7685
2019-11-25,2.0408
2019-11-27,2.0
2019-12-03,-3.7647
2019-12-09,1.8745
2019-12-12,0.0
2019-12-19,0.0
2019-12-27,-0.96
2019-12-30,1.3732
2020-01-03,0.0
2020-01-07,0.3984
2020-01-14,-0.5556
2020-01-15,1.7558
2020-01-16,0.0
2020-01-22,0.7843
2020-02-07,0.3891
2020-02-18,-0.3876
2020-02-26,-4.6693
2020-02-27,0.0
2020-03-02,1.7143000000000002
2020-03-03,0.321
2020-03-05,-3.6
2020-03-06,-0.8299
2020-03-09,-5.7741
2020-03-12,-8.881
2020-03-20,9.6491
2020-04-14,-19.1111
2020-04-20,-0.8791
2020-05-07,21.9512
2020-05-15,-13.1818
2020-05-27,-0.5236
2020-05-28,-3.1579
2020-06-05,8.6957
2020-06-11,2.5
2020-06-24,-6.2439
2020-07-13,0.1041
2020-07-14,-0.104
2020-07-15,-0.6243
2020-07-31,4.1885
