ticker,KFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6873
2000-01-04,-2.2184
2000-01-05,-3.3159
2000-01-06,-1.8051
2000-01-07,-0.3676
2000-01-10,1.6604999999999999
2000-01-11,-1.9964
2000-01-12,-2.2222
2000-01-13,-0.1894
2000-01-14,-0.759
2000-01-18,4.0153
2000-01-19,9.7426
2000-01-20,0.335
2000-01-21,0.0
2000-01-24,-1.1686
2000-01-25,-3.2095
2000-01-26,-1.7452
2000-01-27,-1.2433
2000-01-28,-1.7986
2000-01-31,0.9158
2000-02-01,-2.9038
2000-02-02,-0.1869
2000-02-03,1.1236
2000-02-04,4.4444
2000-02-07,4.2553
2000-02-08,-0.5102
2000-02-09,-0.1709
2000-02-10,-6.8493
2000-02-11,0.1838
2000-02-14,0.9174
2000-02-15,0.5455
2000-02-16,0.5425
2000-02-17,0.5396
2000-02-18,1.0733
2000-02-22,-3.8938
2000-02-23,-1.2891
2000-02-24,0.3731
2000-02-25,-0.1859
2000-02-28,-0.5587
2000-02-29,12.3596
2000-03-01,12.0
2000-03-02,-2.5298
2000-03-03,3.6641
2000-03-06,-4.5655
2000-03-07,-1.2346
2000-03-08,-2.6563
2000-03-09,-1.6051
2000-03-10,-9.7879
2000-03-13,-9.7649
2000-03-14,1.2024
2000-03-15,-1.9802
2000-03-16,-0.202
2000-03-17,-6.4777000000000005
2000-03-20,2.5974
2000-03-21,-1.0549
2000-03-22,5.1173
2000-03-23,0.4057
2000-03-24,2.0202
2000-03-27,2.9703
2000-03-28,0.7692
2000-03-29,-2.2901
2000-03-30,-9.375
2000-03-31,2.5862
2000-04-03,-5.042
2000-04-04,-10.177
2000-04-05,-0.7389
2000-04-06,0.2481
2000-04-07,-3.4653
2000-04-10,-2.5641
2000-04-11,-4.2105
2000-04-12,-4.6703
2000-04-13,1.7290999999999999
2000-04-14,-0.8499
2000-04-17,2.2857
2000-04-18,6.1453
2000-04-19,8.6842
2000-04-20,-0.2421
2000-04-24,1.2136
2000-04-25,4.7962
2000-04-26,-1.8307
2000-04-27,-0.2331
2000-04-28,-0.9346
2000-05-01,4.717
2000-05-02,0.9009
2000-05-03,-3.7946
2000-05-04,-0.6961
2000-05-05,1.4019
2000-05-08,-3.6866
2000-05-09,-5.0239
2000-05-10,-6.801
2000-05-11,0.2703
2000-05-12,-1.8868
2000-05-15,-2.1978
2000-05-16,0.5618
2000-05-17,-0.5587
2000-05-18,4.2135
2000-05-19,-2.4259
2000-05-22,-0.5525
