ticker,IPV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-28,0.0
2020-03-02,-0.203
2020-03-03,-0.2035
2020-03-04,0.3058
2020-03-05,-0.2033
2020-03-06,0.3055
2020-03-09,-0.5076
2020-03-11,-0.102
2020-03-12,-0.9193
2020-03-13,0.0
2020-03-16,0.4124
2020-03-17,-0.1027
2020-03-18,-4.6249
2020-03-19,2.1552
2020-03-20,-0.6329
2020-03-23,-2.3355
2020-03-24,2.7174
2020-03-27,-0.8466
2020-04-01,0.5336
2020-04-02,1.0616
2020-04-03,0.3151
2020-04-14,1.6346
2020-04-15,-1.0931
2020-04-17,-0.1042
2020-04-20,1.5641
2020-04-23,0.5133
2020-06-01,-1.0215
2020-06-02,-0.4128
2020-06-08,1.5534
2020-06-10,-1.0194
2020-06-18,0.9268
2020-06-19,0.5118
2020-06-22,-0.1118
2020-06-23,-0.295
2020-06-24,0.4592
2020-06-25,0.6602
2020-06-26,-0.555
2020-06-29,0.2029
2020-06-30,0.4557
2020-07-01,0.3024
2020-07-02,-0.1005
2020-07-06,-0.9054
2020-07-07,0.203
2020-07-08,0.304
2020-07-09,0.5051
2020-07-10,0.1005
2020-07-13,0.9036
2020-07-14,0.4975
2020-07-15,-0.495
2020-07-16,-0.001
2020-07-17,-0.198
2020-07-20,1.1964
2020-07-21,-0.4926
2020-07-22,-0.495
2020-07-23,-0.2985
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0998
2020-07-30,-0.0997
2020-07-31,-0.7984
