ticker,SIVB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.0707
2000-01-04,-6.4858
2000-01-05,-3.2787
2000-01-06,2.4446
2000-01-07,0.6682
2000-01-10,5.4362
2000-01-11,3.8369
2000-01-12,-3.9261
2000-01-13,-1.3221
2000-01-14,0.9744
2000-01-18,0.8444
2000-01-19,-1.8540999999999999
2000-01-20,1.1578
2000-01-21,4.9398
2000-01-24,0.3444
2000-01-25,-2.1739
2000-01-26,0.117
2000-01-27,2.6869
2000-01-28,-0.8532
2000-01-31,2.3523
2000-02-01,5.8296
2000-02-02,-2.1186
2000-02-03,0.4329
2000-02-04,1.1853
2000-02-07,4.3663
2000-02-08,10.0
2000-02-09,3.2468
2000-02-10,-3.4142
2000-02-11,-3.4419
2000-02-14,-1.9268
2000-02-15,1.1297
2000-02-16,-0.4371
2000-02-17,-3.3659
2000-02-18,-1.8677000000000001
2000-02-22,6.893
2000-02-23,2.7911
2000-02-24,-0.0936
2000-02-25,1.0309
2000-02-28,2.2263
2000-02-29,15.0635
2000-03-01,1.0252
2000-03-02,-0.5855
2000-03-03,13.0742
2000-03-06,-2.0833
2000-03-07,-4.0426
2000-03-08,2.8825
2000-03-09,-0.9339
2000-03-10,0.6526
2000-03-13,-1.0807
2000-03-14,-13.1828
2000-03-15,-2.6846
2000-03-16,11.0345
2000-03-17,-3.3385
2000-03-20,-22.8916
2000-03-21,26.7708
2000-03-22,-1.7256
2000-03-23,-8.3612
2000-03-24,0.2737
2000-03-27,3.2757
2000-03-28,2.0264
2000-03-29,-2.677
2000-03-30,-0.0887
2000-03-31,2.1314
2000-04-03,-3.5652
2000-04-04,-6.6727
2000-04-05,-15.3623
2000-04-06,5.9361
2000-04-07,-1.1853
2000-04-10,-9.1603
2000-04-11,7.2629
2000-04-12,-4.197
2000-04-13,0.8178
2000-04-14,-33.2561
2000-04-17,-5.5556
2000-04-18,20.4044
2000-04-19,8.5496
2000-04-20,6.6104
2000-04-24,16.8865
2000-04-25,13.3183
2000-04-26,-9.8606
2000-04-27,0.7735
2000-04-28,8.3333
2000-05-01,-0.7085
2000-05-02,-0.3058
2000-05-03,-5.0102
2000-05-04,-0.9688
2000-05-05,2.1739
2000-05-08,0.0
2000-05-09,3.8298
2000-05-10,-6.1475
2000-05-11,4.8035
2000-05-12,3.75
2000-05-15,2.1084
2000-05-16,3.6382
2000-05-17,-2.8463000000000003
2000-05-18,5.8594
2000-05-19,-8.6255
2000-05-22,-9.5406
2000-05-23,-2.6786
