ticker,VIVK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-04,0.0
2009-09-08,0.0
2009-09-09,0.0
2009-09-14,0.0
2009-09-15,0.0
2009-09-16,0.0
2009-09-17,0.0
2009-09-18,10.0
2009-09-21,0.0
2009-09-22,0.0
2009-09-23,0.0
2009-09-24,9.0909
2009-09-25,8.3333
2009-09-28,-15.3846
2009-09-29,9.0909
2009-09-30,-8.3333
2009-10-01,-5.4545
2009-10-02,3.8462
2009-10-05,0.0
2009-10-06,-9.2593
2009-10-07,-2.0408
2009-10-08,0.0
2009-10-09,-2.0833
2009-10-12,4.2553
2009-10-13,0.0
2009-10-15,-18.3673
2009-10-19,0.0
2009-10-20,-12.5
2009-10-21,-13.7143
2009-10-22,-0.6623
2009-10-27,40.0
2009-10-28,-4.7619
2009-10-29,25.0
2009-10-30,-10.0
2009-11-02,4.4444
2009-11-03,6.383
2009-11-04,-10.0
2009-11-05,4.4444
2009-11-06,-4.2553
2009-11-09,4.4444
2009-11-10,4.2553
2009-11-11,14.2857
2009-11-12,3.5714
2009-11-13,-5.1724
2009-11-16,-7.2727
2009-11-17,-5.8824
2009-11-18,-2.2917
2009-11-19,-6.1834
2009-11-20,-5.9091000000000005
2009-11-23,-15.4589
2009-11-24,2.8571
2009-11-25,-8.3333
2009-11-27,-9.0909
2009-11-30,0.0
2009-12-01,0.0
2009-12-02,-20.0
2009-12-03,0.0
2009-12-04,0.0
2009-12-07,-8.3333
2009-12-08,11.3636
2009-12-09,-9.7959
2009-12-10,22.1719
2009-12-11,-1.8519
2009-12-14,11.3208
2009-12-15,-15.2542
2009-12-16,-8.0
2009-12-17,-10.8696
2009-12-18,-12.1951
2009-12-21,11.1111
2009-12-22,-7.5
2009-12-23,-8.1081
2009-12-24,5.8824
2009-12-28,-10.5556
2009-12-29,9.937899999999999
2009-12-30,-3.9548
2009-12-31,0.0
2010-01-04,11.7647
2010-01-05,-10.526299999999999
2010-01-06,-2.8676
2010-01-07,-0.0757
2010-01-08,-3.0303
2010-01-11,-3.75
2010-01-12,7.1429
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,1.2121
2010-01-19,-4.1916
2010-01-20,-6.25
2010-01-21,-4.6667
2010-01-22,4.8951
2010-01-25,-6.6667
2010-01-26,0.0
2010-01-27,6.4286
2010-01-28,-6.0403
2010-01-29,-14.2857
2010-02-01,0.0
2010-02-02,-12.5
2010-02-03,4.7619
2010-02-04,-5.4545
2010-02-05,-8.6538
2010-02-08,-5.2632
