ticker,SBBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-16,0.5
2015-10-19,-8.806000000000001
2015-10-20,-11.5098
2015-10-21,-1.3578999999999999
2015-10-22,-5.125
2015-10-23,-7.6416
2015-10-26,8.4165
2015-10-27,6.4474
2015-10-28,2.9666
2015-10-29,-0.3601
2015-10-30,3.253
2015-11-02,-3.5006
2015-11-03,-3.2648
2015-11-04,3.0
2015-11-05,-3.1553
2015-11-06,0.2506
2015-11-09,-6.375
2015-11-10,-4.5394
2015-11-11,0.4196
2015-11-12,-3.8997
2015-11-13,0.8696
2015-11-16,4.1667
2015-11-17,-4.2759
2015-11-18,0.7205
2015-11-19,2.289
2015-11-20,5.5944
2015-11-23,-5.0331
2015-11-24,3.7657
2015-11-25,0.0
2015-11-27,-1.6129
2015-11-30,-1.776
2015-12-01,-2.2253
2015-12-02,-12.5178
2015-12-03,3.0894
2015-12-04,-7.2555
2015-12-07,-3.2313
2015-12-08,-0.703
2015-12-09,6.7235
2015-12-10,-0.8271
2015-12-11,0.0
2015-12-14,-1.6722000000000001
2015-12-15,3.4013999999999998
2015-12-16,-1.1513
2015-12-17,1.1647
2015-12-18,0.4934
2015-12-21,3.5188
2015-12-22,14.7826
2015-12-23,-3.168
2015-12-24,0.7112
2015-12-28,-0.5667
2015-12-29,0.712
2015-12-30,-0.141
2015-12-31,7.3446
2016-01-04,-6.7105
2016-01-05,-3.2439999999999998
2016-01-06,-7.1283
2016-01-07,-5.5093
2016-01-08,2.4917
2016-01-11,-10.0486
2016-01-12,-11.8919
2016-01-13,-14.1104
2016-01-14,0.9524
2016-01-15,29.4811
2016-01-19,-11.4754
2016-01-20,6.9959
2016-01-21,-8.6538
2016-01-22,-4.2105
2016-01-25,-4.3956
2016-01-26,1.3793
2016-01-27,-2.7211
2016-01-28,0.4691
2016-01-29,6.7254000000000005
2016-02-01,-5.4348
2016-02-02,-2.5286999999999997
2016-02-03,-10.1415
2016-02-04,8.9239
2016-02-05,7.7108
2016-02-08,-16.7785
2016-02-09,-0.2688
2016-02-10,2.4259
2016-02-11,1.3158
2016-02-12,-0.2597
2016-02-16,-3.3854
2016-02-17,5.3908
2016-02-18,1.5345
2016-02-19,-1.7631999999999999
2016-02-22,6.6667
2016-02-23,-6.25
2016-02-24,-2.3045
2016-02-25,3.6711
2016-02-26,-0.2532
2016-02-29,1.5228000000000002
2016-03-01,-1.2530999999999999
2016-03-02,-1.0095
2016-03-03,-2.3018
2016-03-04,-0.5236
