ticker,ATNM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-01,-9.0909
2012-12-17,900.0
2012-12-19,31.0
2012-12-21,14.5038
2012-12-27,0.0
2013-03-18,100.0
2013-03-19,66.6667
2013-03-20,50.0
2013-03-21,0.0
2013-03-25,-6.8
2013-03-27,-7.01
2013-03-28,-9.2308
2013-04-01,-15.2542
2013-04-03,4.0
2013-04-04,0.0
2013-04-08,-13.461500000000001
2013-04-09,-0.2222
2013-04-10,10.245
2013-04-12,-14.1414
2013-04-16,1.1764999999999999
2013-04-17,4.6512
2013-04-18,33.3333
2013-04-19,-5.8333
2013-04-22,-20.354
2013-04-25,15.5556
2013-04-26,0.0
2013-04-29,-3.8462
2013-05-03,-10.0
2013-05-09,-3.3333
2013-05-10,-9.1954
2013-05-13,0.0
2013-05-15,0.0
2013-05-16,-1.2658
2013-05-17,-1.2821
2013-05-20,1.2987
2013-05-21,-1.7949000000000002
2013-05-22,1.8277
2013-05-24,-0.7692
2013-05-28,-9.5607
2013-05-30,-0.5714
2013-05-31,-10.9195
2013-06-06,11.2903
2013-06-11,-1.4493
2013-06-12,2.9412000000000003
2013-06-13,-2.8571
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,-5.8824
2013-06-21,-1.5625
2013-06-25,1.5873
2013-06-27,-1.5625
2013-06-28,0.0
2013-07-02,0.0
2013-07-03,0.0
2013-07-05,1.5873
2013-07-09,0.0
2013-07-10,9.375
2013-07-11,-5.7143
2013-07-12,2.1212
2013-07-17,0.8902
2013-07-18,0.0
2013-07-26,0.0
2013-07-29,5.8824
2013-07-30,5.5556
2013-08-02,-1.3158
2013-08-07,-4.0
2013-08-19,-6.9444
2013-08-21,29.8507
2013-08-23,5.7471
2013-08-26,0.0
2013-08-29,-13.0435
2013-08-30,-10.0
2013-09-03,6.9444
2013-09-04,2.5974
2013-09-05,1.2658
2013-09-09,-1.25
2013-09-10,-2.5316
2013-09-11,-1.2987
2013-09-12,-1.0526
2013-09-13,3.7234
2013-09-16,0.0
2013-09-17,25.641
2013-09-18,9.3878
2013-09-19,2.6119
2013-09-23,0.7273
2013-09-24,3.7906
2013-09-25,0.0
2013-09-26,8.6957
2013-09-27,2.4
2013-09-30,-0.7813
2013-10-01,0.7874
2013-10-02,-4.6875
2013-10-03,0.8197
2013-10-07,-2.439
2013-10-08,-0.8333
2013-10-09,-7.563
2013-10-10,0.0
2013-10-11,-0.9091
2013-10-14,-5.5046
2013-10-15,4.8544
2013-10-16,0.9259
