ticker,RPRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-16,58.9286
2020-06-17,9.236
2020-06-18,4.711
2020-06-19,-3.7328
2020-06-22,4.6735
2020-06-23,-0.6629
2020-06-24,-1.3739
2020-06-25,3.7015000000000002
2020-06-26,-4.8359
2020-06-29,-1.7342
2020-06-30,-0.3694
2020-07-01,-4.2842
2020-07-02,-1.5924
2020-07-06,0.831
2020-07-07,2.0386
2020-07-08,2.0616
2020-07-09,0.708
2020-07-10,-1.4888
2020-07-13,-7.5147
2020-07-14,-1.2256
2020-07-15,-1.1949
2020-07-16,-1.8605
2020-07-17,4.7156
2020-07-20,3.8018
2020-07-21,-6.1042
2020-07-22,0.0
2020-07-23,-0.4179
2020-07-24,-2.2849
2020-07-27,3.1257
2020-07-28,-2.9847
2020-07-29,2.6711
2020-07-30,-0.6272
2020-07-31,0.6311
