ticker,CRSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-13,0.0
2009-01-14,0.0
2009-01-15,0.0
2009-01-16,0.0
2009-01-21,0.0
2009-01-22,0.0
2009-01-23,-40.0
2009-01-26,66.6667
2009-01-27,-10.0
2009-01-28,4.4444
2009-01-30,-14.8936
2009-02-03,40.625
2009-02-04,-26.6667
2009-02-19,-39.3939
2009-02-20,375.0
2009-02-24,-57.8947
2009-02-25,17.5
2009-02-27,27.6596
2009-03-02,-8.3333
2009-03-03,9.0909
2009-03-04,0.0
2009-03-12,0.0
2009-03-13,-8.3333
2009-03-16,-1.8182
2009-03-17,1.8519
2009-03-18,1.8182
2009-03-19,1.7856999999999998
2009-03-20,-2.6316
2009-03-23,8.1081
2009-03-24,-6.6667
2009-03-25,0.0
2009-03-26,-90.1786
2009-03-27,-63.6364
2009-03-30,115.0
2009-03-31,4.6512
2009-04-01,-22.2222
2009-04-02,-14.2857
2009-04-03,-33.3333
2009-04-06,0.0
2009-04-07,0.0
2009-04-08,-20.0
2009-04-09,-6.25
2009-04-13,0.0
2009-04-14,0.0
2009-04-15,-10.0
2009-04-16,0.0
2009-04-17,-17.1296
2009-04-20,-46.3687
2009-04-21,50.0
2009-04-22,0.0
2009-04-23,24.3056
2009-04-24,-10.6145
2009-04-27,20.0
2009-05-01,-33.3333
2009-05-05,12.5
2009-05-06,-33.3333
2009-05-07,0.0
2009-05-08,0.0
2009-05-11,47.9167
2009-05-13,12.6761
2009-05-14,0.0
2009-05-15,0.0
2009-05-18,0.0
2009-05-19,-10.0
2009-05-20,-33.3333
2009-05-21,3.125
2009-05-27,61.6162
2009-05-28,-38.125
2009-05-29,61.6162
2009-06-03,-35.0
2009-06-04,0.0
2009-06-05,-44.2308
2009-06-10,0.0
2009-06-12,170.6897
2009-06-15,0.0
2009-06-16,0.0
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,27.3885
2009-06-22,40.0
2009-06-25,-54.2857
2009-06-30,-25.0
2009-07-01,0.0
2009-07-06,2.0833
2009-07-08,0.0
2009-07-09,0.0
2009-07-10,-83.6735
2009-07-14,500.0
2009-08-04,-39.5833
2009-08-06,37.931
2009-08-10,0.0
2009-08-19,0.0
2009-08-20,0.0
2009-08-26,0.0
2009-08-27,-30.0
2009-09-16,185.7143
2009-09-22,-63.125
2009-09-23,11.8644
2009-09-29,-3.0303
2009-09-30,0.0
2009-10-07,0.0
2009-10-12,-12.5
2009-10-15,0.0
2009-10-21,-39.2857
