ticker,BIONQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,100.0
2000-02-23,18.75
2000-03-10,-36.8421
2000-03-13,0.0
2000-03-14,58.3333
2000-03-29,-36.8421
2000-07-27,232.2917
2001-11-08,-98.9969
2002-03-08,50.0
2003-07-14,-93.3333
2008-01-09,900.0
2010-05-04,250.0
2010-06-09,-65.7143
2010-06-10,25.0
2010-06-11,13.3333
2010-06-14,0.0
2010-06-15,-52.9412
2010-06-18,-25.0
2010-06-22,0.0
2010-06-23,8.3333
2010-07-01,-23.0769
2010-07-02,8.0
2010-07-06,0.0
2010-07-07,11.1111
2010-07-08,0.0
2010-07-09,-31.6667
2010-07-12,34.1463
2010-07-13,9.0909
2010-07-14,0.0
2010-07-19,-54.1667
2010-07-20,9.0909
2010-07-22,-66.6667
2010-07-23,0.0
2010-07-26,0.0
2010-07-27,100.0
2010-07-28,10.0
2010-07-30,-44.8864
2010-08-02,31.9588
2010-08-03,-55.4688
2010-08-05,12.2807
2010-08-09,50.0
2010-08-10,-16.6667
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-16,0.0
2010-08-18,-25.0
2010-08-19,33.3333
2010-08-20,50.0
2010-08-24,66.6667
2010-08-25,-0.75
2010-08-26,-39.5466
2010-08-27,36.6667
2010-08-30,-41.4634
2010-08-31,8.3333
2010-09-01,30.7692
2010-09-02,5.8824
2010-09-03,-16.6667
2010-09-07,119.1667
2010-09-08,-11.7871
2010-09-09,0.0
2010-09-10,-13.7931
2010-09-13,-18.75
2010-09-14,47.6923
2010-09-16,-16.6667
2010-09-17,20.0
2010-09-20,-3.3333
2010-09-21,-3.4483
2010-09-22,14.2857
2010-09-23,-6.25
2010-09-24,10.0
2010-09-27,-18.1818
2010-09-28,22.2222
2010-09-29,-3.0303
2010-09-30,3.125
2010-10-05,-12.1212
2010-10-06,-27.5862
2010-10-08,0.0
2010-10-14,0.0
2010-10-15,28.5714
2010-10-19,11.1111
2010-10-20,0.0
2010-10-22,-0.4167
2010-10-28,-46.4435
2010-10-29,48.8281
2010-11-01,0.0
2010-11-04,-16.0105
2010-11-05,-45.0
2010-11-09,0.0
2010-11-10,0.0
2010-11-11,-9.0909
2010-11-12,40.0
2010-11-16,-25.0
2010-11-17,-23.8095
2010-11-18,150.0
2010-11-19,20.0
2010-11-22,0.0
2010-11-23,16.1458
2010-11-24,0.0
2010-11-26,7.6233
2010-11-29,-0.625
2010-11-30,-46.3312
2010-12-03,50.0
