ticker,LANZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-05,-3.8462
2000-01-11,20.0
2000-01-12,-13.3333
2000-01-13,-7.6923
2000-01-14,8.3333
2000-01-18,-7.6923
2000-01-20,-4.1667
2000-01-21,4.3478
2000-01-25,12.5
2000-01-26,-7.4074
2000-01-27,0.0
2000-02-02,0.0
2000-02-03,0.0
2000-02-04,-8.0
2000-02-07,0.0
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,13.0435
2000-02-16,23.0769
2000-02-17,37.5
2000-02-18,18.1818
2000-02-22,-19.2308
2000-02-23,4.7619
2000-02-24,9.0909
2000-02-25,0.0
2000-02-28,-16.6667
2000-02-29,-10.0
2000-03-01,22.2222
2000-03-02,0.0
2000-03-03,-18.1818
2000-03-06,-8.3333
2000-03-07,15.1515
2000-03-08,-7.8947
2000-03-09,2.8571
2000-03-10,11.1111
2000-03-13,0.0
2000-03-14,21.25
2000-03-15,-13.4021
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,-9.5238
2000-03-22,5.2632
2000-03-23,45.0
2000-03-24,-14.6552
2000-03-27,-3.0303
2000-03-28,-8.3333
2000-03-29,-4.5455
2000-03-30,-4.7619
2000-04-05,5.0
2000-04-06,0.0
2000-04-07,-4.7619
2000-04-10,0.0
2000-04-11,20.0
2000-04-12,4.1667
2000-04-13,-4.0
2000-04-14,-8.3333
2000-04-17,-27.2727
2000-04-18,0.0
2000-04-24,18.75
2000-04-25,-2.6316
2000-04-26,18.9189
2000-04-27,-15.9091
2000-05-01,-10.8108
2000-05-02,21.2121
2000-05-05,-17.5
2000-05-08,21.2121
2000-05-09,-10.0
2000-05-12,-13.8889
2000-05-15,29.0323
2000-05-16,-22.5
2000-05-22,0.0
2000-05-23,16.129
2000-05-26,0.0
2000-06-01,-13.8889
2000-06-02,14.5161
2000-06-05,16.9014
2000-06-07,-13.253
2000-06-08,0.0
2000-06-13,0.0
2000-06-14,-11.1111
2000-06-15,0.0
2000-06-19,0.0
2000-06-23,-4.6875
2000-06-28,-1.6393
2000-06-29,0.0
2000-07-03,0.0
2000-07-05,-6.6667
2000-07-06,0.0
2000-07-13,0.0
2000-07-14,0.0
2000-07-17,42.8571
2000-07-18,-10.0
2000-07-19,11.1111
2000-07-20,-20.0
2000-07-21,6.25
2000-07-24,0.0
2000-07-27,-17.647100000000002
2000-07-28,14.2857
2000-07-31,0.0
2000-08-04,-6.25
2000-08-10,-6.6667
2000-08-11,14.2857
