ticker,TCOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-09,88.5556
2003-12-10,-4.2133
2003-12-11,3.6604
2003-12-12,16.5875
2003-12-15,-12.1914
2003-12-16,-4.1449
2003-12-17,-3.0844
2003-12-18,-6.0842
2003-12-19,-5.3156
2003-12-22,13.6491
2003-12-23,0.6051
2003-12-24,1.2367
2003-12-26,2.7615
2003-12-29,-5.0737
2003-12-30,2.3617
2003-12-31,3.2483
2004-01-02,11.7318
2004-01-05,3.2105
2004-01-06,-4.6405
2004-01-07,1.0722
2004-01-08,-2.9417
2004-01-09,-3.9767
2004-01-12,-2.7817
2004-01-13,1.2263
2004-01-14,1.4422
2004-01-15,-1.3364
2004-01-16,-1.9020000000000001
2004-01-20,2.7908
2004-01-21,-5.7158999999999995
2004-01-22,-2.0006
2004-01-23,0.5258
2004-01-26,2.0923
2004-01-27,-3.9482
2004-01-28,-10.0094
2004-01-29,1.4296
2004-01-30,-0.3094
2004-02-02,-0.1034
2004-02-03,-2.3127
2004-02-04,-3.3569
2004-02-05,-4.4973
2004-02-06,0.6891
2004-02-09,8.6692
2004-02-10,-0.2799
2004-02-11,1.7509000000000001
2004-02-12,-1.7896999999999998
2004-02-13,-0.1475
2004-02-17,1.3784
2004-02-18,11.8973
2004-02-19,0.9919
2004-02-20,-4.6041
2004-02-23,5.4376
2004-02-24,-13.6405
2004-02-25,-0.7774
2004-02-26,4.3447
2004-02-27,-0.3072
2004-03-01,-0.7189
2004-03-02,4.3103
2004-03-03,-0.562
2004-03-04,1.3963
2004-03-05,2.3934
2004-03-08,-0.5764
2004-03-09,-0.0322
2004-03-10,-1.2564
2004-03-11,-5.0571
2004-03-12,5.189
2004-03-15,-3.0056
2004-03-16,-1.2125
2004-03-17,3.4095
2004-03-18,0.5275
2004-03-19,-1.5087000000000002
2004-03-22,-3.0636
2004-03-23,-0.0344
2004-03-24,-5.4983
2004-03-25,3.6364
2004-03-26,-0.4912
2004-03-29,-0.4231
2004-03-30,-0.5666
2004-03-31,1.3176999999999999
2004-04-01,0.9842
2004-04-02,-0.2785
2004-04-05,-1.7103000000000002
2004-04-06,-1.456
2004-04-07,-0.5766
2004-04-08,3.842
2004-04-12,2.2688
2004-04-13,-2.5939
2004-04-14,-3.0133
2004-04-15,1.1561
2004-04-16,-0.0357
2004-04-19,-0.7145
2004-04-20,0.036
2004-04-21,0.0
2004-04-22,1.0432
2004-04-23,0.6871
2004-04-26,-1.8138
2004-04-27,9.5427
2004-04-28,1.2492
