ticker,GMER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-12,25.0
2011-05-05,20100.0
2011-06-15,98.0198
2011-08-10,-52.0
2011-08-12,0.0
2011-08-15,175.0
2011-08-16,-43.1818
2011-08-17,34.4
2011-08-18,60.7143
2011-08-19,8.1481
2011-08-22,-19.5205
2011-08-23,-17.0213
2011-08-24,23.0769
2011-08-25,-8.3333
2011-08-26,13.6364
2011-08-29,-10.0
2011-08-30,4.4444
2011-08-31,-6.383
2011-09-01,32.2727
2011-09-02,-17.6976
2011-09-06,-9.812100000000001
2011-09-07,-3.2407
2011-09-08,-2.8708
2011-09-09,-0.9852
2011-09-12,1.99
2011-09-13,-2.9268
2011-09-14,-8.5427
2011-09-15,-17.033
2011-09-16,12.5828
2011-09-19,-12.9412
2011-09-20,-6.0811
2011-09-21,-2.8777
2011-09-22,-31.8519
2011-09-23,19.5652
2011-09-26,-4.5455
2011-09-27,-2.8571
2011-09-28,-9.8039
2011-09-29,8.6957
2011-09-30,0.0
2011-10-03,19.0
2011-10-04,35.2941
2011-10-05,-19.2547
2011-10-06,-12.3077
2011-10-07,18.4211
2011-10-10,-3.7037
2011-10-11,-3.8462
2011-10-12,0.0
2011-10-13,4.0
2011-10-14,-6.9231
2011-10-17,0.0
2011-10-18,-12.3967
2011-10-19,0.0
2011-10-20,3.7736
2011-10-21,-8.1818
2011-10-24,-4.9505
2011-10-25,4.1667
2011-10-26,-13.0
2011-10-27,7.1121
2011-10-28,-7.7129
2011-10-31,-1.0174
2011-11-01,-6.0206
2011-11-02,2.7344
2011-11-03,-12.3954
2011-11-04,-9.7222
2011-11-07,0.0
2011-11-08,-10.0
2011-11-09,26.4957
2011-11-10,21.6216
2011-11-11,-2.2222
2011-11-14,-5.5398
2011-11-15,0.8271
2011-11-16,-10.5145
2011-11-17,-14.6667
2011-11-18,2.3438
2011-11-21,0.0
2011-11-22,3.8167999999999997
2011-11-23,16.1765
2011-11-25,7.5949
2011-11-28,-20.5882
2011-11-29,15.5556
2011-11-30,-3.8462
2011-12-01,-8.6667
2011-12-02,2.1898
2011-12-05,17.1429
2011-12-06,2.439
2011-12-07,-8.3333
2011-12-08,-6.4935
2011-12-09,-1.2153
2011-12-12,-4.3937
2011-12-13,-10.2941
2011-12-14,-4.918
2011-12-15,12.069
2011-12-16,0.0
2011-12-19,-15.3846
2011-12-20,-1.8182
2011-12-21,5.5556
2011-12-22,-23.0263
2011-12-23,-11.1111
2011-12-27,-2.5641
2011-12-28,-7.8947
