ticker,YTEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-10,10.857099999999999
2006-11-13,3.0284
2006-11-14,-4.6279
2006-11-15,4.918
2006-11-16,14.0625
2006-11-17,-4.9315
2006-11-20,-2.0692
2006-11-21,-2.8898
2006-11-22,4.2311
2006-11-24,-1.0939
2006-11-27,-0.0588
2006-11-28,-2.2353
2006-11-29,0.7822
2006-11-30,0.2978
2006-12-01,-0.5945
2006-12-04,2.6347
2006-12-05,-0.8168
2006-12-06,-0.3529
2006-12-07,2.7155
2006-12-08,7.7593
2006-12-11,4.2126
2006-12-12,-2.5077
2006-12-13,3.1496
2006-12-14,3.7659000000000002
2006-12-15,-5.8852
2006-12-18,-2.814
2006-12-19,-1.8767
2006-12-20,-1.6393
2006-12-21,-4.1111
2006-12-22,2.0278
2006-12-26,-0.8518
2006-12-27,3.6082
2006-12-28,-0.4975
2006-12-29,5.2222
2007-01-03,-2.4815
2007-01-04,-3.0319
2007-01-05,-3.0151
2007-01-08,2.9937
2007-01-09,-4.8072
2007-01-10,0.3523
2007-01-11,1.9895
2007-01-12,0.0
2007-01-16,-0.7458
2007-01-17,-4.5087
2007-01-18,0.6659
2007-01-19,0.6615
2007-01-22,-3.9427
2007-01-23,1.4303
2007-01-24,-2.4525
2007-01-25,-2.2627
2007-01-26,2.8296
2007-01-29,-0.6879
2007-01-30,-1.5743
2007-01-31,2.2393
2007-02-01,4.1302
2007-02-02,4.0865
2007-02-05,-0.9815
2007-02-06,-0.8746
2007-02-07,0.2941
2007-02-08,-0.2346
2007-02-09,-0.4703
2007-02-12,-0.0591
2007-02-13,2.8369
2007-02-14,-2.1264
2007-02-15,0.9395
2007-02-16,0.349
2007-02-20,4.2318999999999996
2007-02-21,1.168
2007-02-22,2.6388
2007-02-23,2.3567
2007-02-26,2.1978
2007-02-27,-3.3282
2007-02-28,-1.3771
2007-03-01,-0.7519
2007-03-02,-6.5476
2007-03-05,-4.9797
2007-03-06,7.8611
2007-03-07,4.1808
2007-03-08,-1.1388
2007-03-09,-3.3461
2007-03-12,0.681
2007-03-13,-1.8601999999999999
2007-03-14,-4.2504
2007-03-15,-3.3593
2007-03-16,0.1241
2007-03-19,3.2858
2007-03-20,3.5414
2007-03-21,0.2899
2007-03-22,-2.3121
2007-03-23,-0.1183
2007-03-26,1.7328000000000001
2007-03-27,-1.5868
2007-03-28,-1.3609
2007-03-29,-0.3599
2007-03-30,0.1204
2007-04-02,-0.4811
2007-04-03,3.9275
