ticker,SDRLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-05,13.5135
2018-07-06,2.5238
2018-07-09,2.7868
2018-07-10,2.3498
2018-07-11,-2.8256
2018-07-12,-0.9087
2018-07-13,0.0917
2018-07-16,-3.1608
2018-07-17,-3.3113
2018-07-18,-2.544
2018-07-19,-1.255
2018-07-20,-5.1856
2018-07-23,0.3753
2018-07-24,1.9231
2018-07-25,-0.4193
2018-07-26,5.1579
2018-07-27,2.0521
2018-07-30,-0.2452
2018-07-31,-1.2783
2018-08-01,-0.747
2018-08-02,-0.8028
2018-08-03,-0.6576
2018-08-06,0.7637
2018-08-07,0.2021
2018-08-08,-0.2521
2018-08-09,-3.1345
2018-08-10,-4.9061
2018-08-13,1.3721
2018-08-14,0.1083
2018-08-15,-5.841
2018-08-16,-1.8955
2018-08-17,1.9906000000000001
2018-08-20,3.2721
2018-08-21,2.1679
2018-08-22,0.4353
2018-08-23,-0.4875
2018-08-24,3.9194
2018-08-27,1.8334000000000001
2018-08-28,-2.4177
2018-08-29,1.5814
2018-08-30,-0.0519
2018-08-31,1.0384
2018-09-04,0.668
2018-09-05,-2.195
2018-09-06,-2.3486000000000002
2018-09-07,0.1069
2018-09-10,0.4805
2018-09-11,4.5696
2018-09-12,1.8801
2018-09-13,0.0998
2018-09-14,1.5446
2018-09-17,2.6987
2018-09-18,2.9145
2018-09-19,3.714
2018-09-20,3.402
2018-09-21,2.5108
2018-09-24,2.8716
2018-09-25,-0.4516
2018-09-26,-0.9897
2018-09-27,2.499
2018-09-28,0.6908
2018-10-01,2.5827
2018-10-02,0.3541
2018-10-03,1.1368
2018-10-04,-4.3411
2018-10-05,-0.5673
2018-10-08,8.1907
2018-10-09,-2.0716
2018-10-10,-3.9615
2018-10-11,-2.483
2018-10-12,-1.1499
2018-10-15,0.2493
2018-10-16,1.1189
2018-10-17,-0.8197
2018-10-18,-1.0744
2018-10-19,0.2089
2018-10-22,-2.6677999999999997
2018-10-23,-10.2784
2018-10-24,-4.7733
2018-10-25,4.0602
2018-10-26,-3.7091
2018-10-29,-6.7534
2018-10-30,3.2189
2018-10-31,5.8212
2018-11-01,-2.2102
2018-11-02,-1.2557
2018-11-05,1.9837
2018-11-06,-0.0998
2018-11-07,1.2481
2018-11-08,-6.7554
2018-11-09,-4.6007
2018-11-12,-5.8204
2018-11-13,-4.2378
2018-11-14,2.4585
2018-11-15,-0.2999
2018-11-16,0.7822
2018-11-19,-1.8507
2018-11-20,-14.781
