ticker,SPEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-05,0.0
2012-10-24,-40.0
2012-10-25,0.0
2012-10-26,0.0
2012-10-31,33.3333
2013-02-06,20.0
2013-02-07,-16.6667
2013-02-08,0.0
2013-02-11,0.0
2013-03-07,-55.0
2013-03-08,17.5694
2013-03-11,41.7602
2013-03-12,-33.3333
2013-03-13,50.0
2013-03-20,13.3333
2013-04-08,-58.8235
2013-04-09,42.8571
2013-04-15,-15.0
2013-04-19,-17.647100000000002
2013-04-22,-28.5714
2013-05-07,-34.0
2013-05-10,0.0
2013-05-21,21.2121
2013-05-22,12.5
2013-06-03,0.0
2013-06-17,-26.6667
2013-06-21,-9.0909
2013-06-24,-33.3333
2013-06-27,-22.5
2013-07-15,-3.2258
2013-07-19,0.0
2013-07-31,233.3333
2013-08-14,-20.0
2013-08-16,25.0
2013-08-22,-70.0
2013-08-23,233.3333
2013-09-27,20.0
2013-09-30,-33.3333
2013-10-01,0.0
2013-10-02,-10.0
2013-10-03,0.0
2013-10-04,-24.6528
2013-10-07,-3.6866
2013-10-08,7.177
2013-10-09,0.4464
2013-10-10,-57.3333
2013-10-11,-4.1667
2013-10-14,1.087
2013-10-15,-13.9785
2013-10-16,-26.875
2013-10-17,23.0769
2013-10-21,-20.1389
2013-10-22,0.0
2013-10-23,25.2174
2013-10-24,-16.6667
2013-10-25,0.0
2013-10-30,0.0
2013-10-31,18.3333
2013-11-01,-19.0141
2013-11-04,11.3043
2013-11-11,10.9375
2013-11-13,63.3803
2013-11-14,-31.0345
2013-11-15,35.0
2013-11-18,-11.1111
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,-33.3333
2013-11-25,37.5
2013-11-26,-10.2273
2013-11-27,-18.9873
2013-11-29,14.8437
2013-12-02,6.8027
2013-12-03,-12.1019
2013-12-04,2.8986
2013-12-05,3.5211
2013-12-06,8.8435
2013-12-09,-13.75
2013-12-10,4.3478
2013-12-11,0.0
2013-12-12,-5.5556
2013-12-13,11.7647
2013-12-16,-17.7632
2013-12-17,13.6
2013-12-18,-2.1127
2013-12-19,-15.1079
2013-12-20,-6.7797
2013-12-23,-10.0
2013-12-24,2.0202
2013-12-26,2.9703
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,-7.6923
2014-01-02,-21.875
2014-01-03,6.6667
2014-01-06,-2.5
2014-01-07,-15.3846
2014-01-08,-27.2727
2014-01-09,-27.0833
2014-01-10,-14.2857
2014-01-13,33.3333
