ticker,CSTE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-22,1.0
2012-03-23,-0.9001
2012-03-26,1.3624
2012-03-27,0.3584
2012-03-28,6.7857
2012-03-29,-2.3411
2012-03-30,-0.5137
2012-04-02,0.6885
2012-04-03,0.0
2012-04-04,0.5983
2012-04-05,4.6729
2012-04-09,-0.974
2012-04-10,0.082
2012-04-11,0.0
2012-04-12,0.7371
2012-04-13,1.1381999999999999
2012-04-16,-0.5627
2012-04-17,0.2425
2012-04-18,-0.4032
2012-04-19,0.4858
2012-04-20,-0.4029
2012-04-23,-0.4045
2012-04-24,-0.0812
2012-04-25,-0.3252
2012-04-26,0.8972
2012-04-27,-0.9701
2012-04-30,1.0612
2012-05-01,5.0889
2012-05-02,1.8447
2012-05-03,0.0
2012-05-04,-3.3962
2012-05-07,2.2656
2012-05-08,-0.6875
2012-05-09,-0.3846
2012-05-10,-0.0772
2012-05-11,0.4637
2012-05-14,-0.2308
2012-05-15,-1.542
2012-05-16,-1.3312
2012-05-17,-3.5714
2012-05-18,1.6461000000000001
2012-05-21,-0.8097
2012-05-22,-5.551
2012-05-23,-4.4944
2012-05-24,3.6199
2012-05-25,3.1441
2012-05-29,2.3709
2012-05-30,-2.5641
2012-05-31,2.1222
2012-06-01,-2.7431
2012-06-04,1.453
2012-06-05,-0.9267
2012-06-06,1.7006999999999999
2012-06-07,-0.7525
2012-06-08,-0.5897
2012-06-11,0.8475
2012-06-12,0.0
2012-06-13,-0.5042
2012-06-14,0.5912
2012-06-15,-1.5112999999999999
2012-06-18,0.682
2012-06-19,1.6935
2012-06-20,-0.8326
2012-06-21,2.0151
2012-06-22,-2.963
2012-06-25,-0.1696
2012-06-26,1.4444
2012-06-27,0.9213
2012-06-28,0.9129
2012-06-29,-0.0822
2012-07-02,-0.823
2012-07-03,0.0
2012-07-05,-0.332
2012-07-06,-0.0833
2012-07-09,-2.5833
2012-07-10,0.7699
2012-07-11,-0.0849
2012-07-12,-1.2744
2012-07-13,-2.4527
2012-07-16,-1.2792
2012-07-17,4.1108
2012-07-18,-1.1159
2012-07-19,4.0799
2012-07-20,-4.2535
2012-07-23,2.2648
2012-07-24,-4.4293
2012-07-25,6.6845
2012-07-26,-1.086
2012-07-27,0.1689
2012-07-30,-1.0118
2012-07-31,0.0
2012-08-01,-3.5775
2012-08-02,2.2968
2012-08-03,0.0864
2012-08-06,0.5177
2012-08-07,-1.7167
2012-08-08,-1.4847000000000001
2012-08-09,-1.9504000000000001
