ticker,CCAP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-04,0.5488
2020-02-05,2.0012
2020-02-06,0.0
2020-02-07,1.6646999999999998
2020-02-10,-1.1696
2020-02-11,-1.1834
2020-02-12,0.479
2020-02-13,-0.1192
2020-02-14,-0.8353
2020-02-18,-0.7822
2020-02-19,0.3032
2020-02-20,-0.6651
2020-02-21,0.426
2020-02-24,-1.2121
2020-02-25,-0.6135
2020-02-26,0.3704
2020-02-27,-2.46
2020-02-28,-0.7566
2020-03-02,1.2706
2020-03-03,-0.8783
2020-03-04,1.0127
2020-03-05,0.4386
2020-03-06,-0.4991
2020-03-09,-9.7806
2020-03-10,0.7644
2020-03-11,-2.6207000000000003
2020-03-12,-9.9504
2020-03-13,3.4212
2020-03-16,-14.3726
2020-03-17,-3.1083
2020-03-18,-22.0898
2020-03-19,8.8235
2020-03-20,-20.2162
2020-03-23,-15.8537
2020-03-24,4.9919
2020-03-25,2.6074
2020-03-26,28.9985
2020-03-27,10.0811
2020-03-30,3.2632
2020-03-31,2.6596
2020-04-01,-10.0518
2020-04-02,8.871
2020-04-03,-5.5026
2020-04-06,7.0549
2020-04-07,1.3598
2020-04-08,8.3591
2020-04-09,7.4286
2020-04-13,10.8156
2020-04-14,2.7199999999999998
2020-04-15,1.2461
2020-04-16,-4.7692
2020-04-17,-3.3118
2020-04-20,-16.792
2020-04-21,7.0281
2020-04-22,-4.3152
2020-04-23,-2.1569
2020-04-24,-3.2064
2020-04-27,-6.3147
2020-04-28,9.0608
2020-04-29,6.079
2020-04-30,-5.6350999999999996
2020-05-01,4.251
2020-05-04,-0.5825
2020-05-05,4.8828
2020-05-06,0.5587
2020-05-07,10.463
2020-05-08,-5.1132
2020-05-11,-4.8587
2020-05-12,1.9499
2020-05-13,0.1821
2020-05-14,0.0
2020-05-15,-3.6364
2020-05-18,5.6604
2020-05-19,-1.7856999999999998
2020-05-20,0.3636
2020-05-21,-0.3623
2020-05-22,-0.1818
2020-05-26,1.6393
2020-05-27,5.914
2020-05-28,0.6768
2020-05-29,3.1092
2020-06-01,3.5045
2020-06-02,0.3937
2020-06-03,1.5686
2020-06-04,-0.695
2020-06-05,-3.4215
2020-06-08,3.1401
2020-06-09,-0.7806
2020-06-10,-1.1802
2020-06-11,-0.0796
2020-06-12,0.3187
2020-06-15,1.6680000000000001
2020-06-16,3.125
2020-06-17,0.0
2020-06-18,-2.4242
2020-06-19,-1.8634
2020-06-22,1.0285
2020-06-23,1.8011
2020-06-24,0.4231
2020-06-25,0.8809
2020-06-26,0.6074
2020-06-29,0.8302
2020-06-30,-2.3938
2020-07-01,0.0
2020-07-02,0.4747
2020-07-06,-1.5748
2020-07-07,3.2800000000000002
2020-07-08,-3.9504
2020-07-09,-2.0968
2020-07-10,-1.3591
2020-07-13,1.7953999999999999
2020-07-14,-1.1485
2020-07-15,1.7427000000000001
2020-07-16,-0.1631
2020-07-17,-2.3693
2020-07-20,0.4184
2020-07-21,-0.25
2020-07-22,0.0
2020-07-23,-0.1671
2020-07-24,0.4184
2020-07-27,-0.4167
2020-07-28,-1.6736
2020-07-29,-0.2553
2020-07-30,-0.1706
2020-07-31,0.0
