ticker,ARRAF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-27,-6.015
2014-07-07,-16.0
2014-07-14,-1.9048
2014-08-04,-17.4757
2014-11-12,-16.4706
2014-11-25,5.6338
2015-01-22,-41.3333
2015-02-04,20.8949
2015-03-05,-2.2442
2015-03-24,3.101
2015-04-30,-72.3945
2015-05-01,3.6318
2015-05-04,-2.2005
2015-05-08,-10.0
2015-05-11,3.7037
2015-05-13,10.7143
2015-05-29,-36.9355
2015-06-02,38.1074
2015-06-04,130.8333
2015-06-15,-27.9583
2015-06-30,45.8241
2015-07-02,28.8278
2015-07-09,-25.0741
2015-07-14,13.9241
2015-07-24,-7.2049
2015-07-28,26.5856
2015-07-29,7.3308
2015-07-30,10.1349
2015-08-03,18.6922
2015-08-14,2.5598
2015-08-17,2.5267
2015-08-18,-2.224
2015-08-19,-1.6393
2015-08-20,-3.3646
2015-08-21,-5.3573
2015-08-24,-5.1367
2015-08-25,-0.3362
2015-08-26,-1.2770000000000001
2015-08-27,-1.9402
2015-09-02,-5.6869
2015-09-08,3.7603999999999997
2015-09-09,26.2335
2015-09-10,-3.0926
2015-09-15,2.1933
2015-09-16,0.8748
2015-09-22,-6.4838000000000005
2015-10-08,-7.8068
2015-11-25,-18.924
2015-12-15,7.3283
2015-12-24,-8.0645
2016-01-19,-7.5731
2016-03-01,-4.7295
2016-03-04,-4.184
2016-03-11,-0.1906
2016-03-14,3.2292
2016-03-15,-6.3068
2016-03-16,-13.8395
2016-04-13,3.3333
2016-04-14,-2.1976
2016-04-19,-3.5869
2016-04-26,9.4291
2016-05-20,-1.524
2016-05-27,-4.7619
2016-05-31,4.2083
2016-06-03,-12.0352
2016-06-10,6.3636
2016-06-23,2.5641
2016-06-28,-17.3333
2016-07-11,-10.8871
2016-07-12,-6.8722
2016-07-15,-0.3948
2016-07-18,17.0732
2016-07-20,0.0
2016-07-28,-5.625
2016-07-29,0.4967
2016-08-10,-20.7578
2016-08-11,1.5939
2016-08-17,6.412
2016-08-18,-15.3846
2016-08-22,32.7273
2016-08-29,-0.742
2016-09-20,17.9413
2016-10-11,-0.5363
2016-10-14,-13.7255
2016-10-17,11.3636
2016-11-02,-10.2041
2016-11-17,-18.1818
2016-11-23,-16.6667
2016-12-02,66.6667
2016-12-09,-19.2
2016-12-15,16.3366
2016-12-19,-46.9681
2016-12-20,0.3009
2016-12-29,-28.8
2017-01-06,85.3933
2017-01-09,-3.0303
2017-01-13,-15.625
2017-01-17,-16.6667
2017-01-19,73.8889
2017-01-26,13.4824
2017-02-09,-0.9009
2017-02-14,36.3636
2017-02-17,26.6667
2017-05-08,0.0
2017-05-09,-25.2632
2017-05-10,0.0
2017-06-08,-4.9296
2017-06-27,3.7037
2017-07-03,35.7143
2017-07-11,-28.947400000000002
2018-01-29,22.2222
2018-01-30,6.0606
2018-04-30,42.8571
2018-05-15,200.0
2018-05-16,-76.6667
2018-06-25,14.2857
2018-06-27,0.0
2018-09-26,-32.5
2018-10-02,-22.2222
2018-10-15,19.0476
2018-11-02,0.0
