ticker,MLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.3597
2000-01-05,-0.7168
2000-01-06,0.722
2000-01-07,0.0
2000-01-10,-0.3584
2000-01-11,0.3597
2000-01-12,0.3584
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,-1.4285999999999999
2000-01-20,0.0
2000-01-21,-1.4493
2000-01-24,-1.4706000000000001
2000-01-25,-0.7463
2000-01-26,-1.1278
2000-01-27,1.1407
2000-01-28,-0.7519
2000-02-01,-0.7576
2000-02-02,-0.7634
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,0.7692
2000-02-09,-2.2901
2000-02-10,-0.7813
2000-02-11,-0.7874
2000-02-14,1.5873
2000-02-15,-0.7813
2000-02-16,-1.5748
2000-02-18,1.6
2000-02-22,-0.7874
2000-02-24,1.5873
2000-02-25,-0.3906
2000-02-28,-2.7451
2000-02-29,1.6129
2000-03-01,-0.7937
2000-03-03,-2.4
2000-03-06,1.2295
2000-03-08,0.0
2000-03-09,-0.4082
2000-03-10,-0.8197
2000-03-13,-1.6529
2000-03-14,-3.3613
2000-03-17,2.6087
2000-03-21,0.0
2000-03-22,0.0
2000-03-24,-1.6949
2000-03-27,-1.7241
2000-03-28,0.8772
2000-03-29,-0.4348
2000-03-30,2.1834
2000-03-31,-0.8547
2000-04-03,1.7241
2000-04-04,0.0
2000-04-05,0.0
2000-04-06,3.3898
2000-04-07,4.0984
2000-04-10,14.9606
2000-04-11,1.3699
2000-04-12,5.4054
2000-04-13,0.641
2000-04-14,5.0955
2000-04-17,4.2424
2000-04-18,0.5814
2000-04-19,0.0
2000-04-20,0.8671
2000-04-24,-5.4441
2000-04-25,1.8182
2000-04-26,-1.1905000000000001
2000-05-01,-2.1084
2000-05-02,-1.2308
2000-05-03,-0.3115
2000-05-04,-1.25
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-1.2658
2000-05-11,-1.2821
2000-05-12,1.2987
2000-05-15,0.9615
2000-05-18,-0.9524
2000-05-19,0.0
2000-05-24,-1.2821
2000-05-25,0.0
2000-05-30,0.6494
2000-05-31,0.6452
2000-06-05,0.0
2000-06-09,0.0
2000-06-14,-0.641
2000-06-15,-1.2903
2000-06-16,1.3072
2000-06-19,0.0
2000-06-20,-0.6452
2000-06-21,0.0
2000-06-22,3.5714
2000-06-23,10.9718
2000-06-26,4.5198
2000-06-28,-2.7027
2000-06-29,0.0
2000-06-30,0.5556
