ticker,NBAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-05,0.6186
2020-05-06,0.0
2020-05-07,1.5369000000000002
2020-05-08,-0.9082
2020-05-14,0.2037
2020-05-15,-0.1148
2020-05-19,-0.0885
2020-05-20,-0.1018
2020-05-22,0.0
2020-05-27,0.1019
2020-06-02,-0.1018
2020-06-03,0.1019
2020-06-05,-0.2037
2020-06-08,0.0
2020-06-09,0.102
2020-06-10,0.2039
2020-06-11,0.0
2020-06-12,-0.1017
2020-06-15,0.0
2020-06-16,-0.2037
2020-06-17,0.3061
2020-06-18,0.2035
2020-06-19,0.203
2020-06-22,0.0
2020-06-25,0.304
2020-06-29,0.0
2020-06-30,0.202
2020-07-01,0.0
2020-07-02,-0.2016
2020-07-06,0.101
2020-07-07,0.1988
2020-07-08,-0.8026
2020-07-09,0.6132
2020-07-10,-0.1049
2020-07-13,0.202
2020-07-14,0.2016
2020-07-16,0.4024
2020-07-20,-0.2004
2020-07-21,0.1004
2020-07-23,0.1003
2020-07-24,-0.2004
2020-07-29,-0.2008
2020-07-30,0.0
2020-07-31,0.0
