ticker,LNDT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-26,-10.0
2008-08-27,-44.4444
2010-03-01,1340.0
2010-03-02,4.1667
2010-03-03,5.3333
2010-03-04,-3.7975
2010-03-05,68.4211
2010-03-08,-12.5
2010-03-09,-12.3214
2010-03-10,2.2403
2010-03-11,-0.3984
2010-03-12,-5.0
2010-03-15,5.2632
2010-03-16,0.0
2010-03-17,-3.0
2010-03-18,-7.2165
2010-03-19,7.7778
2010-03-22,-5.1546
2010-03-23,1.087
2010-03-24,-3.2258
2010-03-25,1.1111
2010-03-26,-0.8791
2010-03-29,10.8647
2010-03-30,1.8
2010-03-31,-1.7682
2010-04-01,0.0
2010-04-05,5.0
2010-04-06,13.3333
2010-04-07,0.5042
2010-04-08,-1.3378
2010-04-09,0.8475
2010-04-12,5.8824
2010-04-13,-1.5873
2010-04-14,4.8387
2010-04-15,-0.7692
2010-04-16,-6.0465
2010-04-19,-0.9901
2010-04-20,2.5
2010-04-21,1.626
2010-04-22,3.2
2010-04-23,-0.155
2010-04-26,-0.6211
2010-04-27,-1.5625
2010-04-28,3.9683
2010-04-29,-3.2061
2010-04-30,-2.2082
2010-05-03,-0.8065
2010-05-04,-2.439
2010-05-05,0.0
2010-05-06,-3.3333
2010-05-07,-7.069
2010-05-10,10.3896
2010-05-12,0.0
2010-05-13,-3.3613
2010-05-14,-4.3478
2010-05-17,-0.9091
2010-05-18,-8.2569
2010-05-19,5.0
2010-05-20,-8.5714
2010-05-21,13.5417
2010-05-24,-1.8349
2010-05-25,-6.729
2010-05-26,0.2004
2010-05-27,4.0
2010-06-02,0.5769
2010-06-03,0.3824
2010-06-04,-0.7619
2010-06-07,0.7678
2010-06-08,-0.381
2010-06-10,-0.7648
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,0.9634
2010-06-17,-0.1908
2010-06-18,0.0
2010-06-21,-0.3824
2010-06-22,0.7678
2010-06-23,2.6667
2010-06-24,-2.5974
2010-06-25,2.6667
2010-06-29,-0.1855
2010-07-01,-5.3903
2010-07-02,0.0
2010-07-06,0.0
2010-07-08,-0.7859
2010-07-12,3.5644
2010-07-13,0.0
2010-07-15,-4.3977
2010-07-16,5.0
2010-07-19,0.0
2010-07-20,-4.7619
2010-07-22,4.8
2010-07-26,0.0
2010-07-28,-0.7634
2010-07-30,3.6538
2010-08-02,-1.6698
2010-08-03,-1.8868
2010-08-05,5.5769
2010-08-06,3.643
2010-08-09,5.2724
2010-08-10,0.0
2010-08-11,1.8364
