ticker,TRITF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-10,29.6296
2009-09-11,4.0
2009-09-14,2.8571
2009-09-15,9.4017
2009-09-16,15.2344
2009-09-17,32.7966
2009-09-18,-6.8283000000000005
2009-09-21,-7.7397
2009-09-22,5.7905999999999995
2009-09-23,-5.2632
2009-09-24,0.0741
2009-09-25,2.8127
2009-09-28,10.0792
2009-09-29,-4.5782
2009-09-30,-4.0439
2009-10-01,-2.1429
2009-10-02,3.0657
2009-10-05,2.6912000000000003
2009-10-06,-1.5862
2009-10-07,13.9453
2009-10-08,7.9951
2009-10-09,-0.5695
2009-10-12,4.5245999999999995
2009-10-13,6.7397
2009-10-14,-0.5133
2009-10-15,-5.7276
2009-10-16,1.5326
2009-10-19,-3.1267
2009-10-20,-0.4452
2009-10-21,1.5091999999999999
2009-10-22,-0.826
2009-10-23,-4.1644
2009-10-26,-9.6176
2009-10-27,-11.4744
2009-10-28,-11.5858
2009-10-29,9.9099
2009-10-30,-5.8867
2009-11-02,-1.8211
2009-11-03,3.7903000000000002
2009-11-04,13.4421
2009-11-05,2.0548
2009-11-06,4.3624
2009-11-09,0.5153
2009-11-10,-6.5906
2009-11-11,1.0342
2009-11-12,8.9418
2009-11-13,8.0274
2009-11-16,-2.1889
2009-11-17,1.5901
2009-11-18,7.0725
2009-11-19,0.379
2009-11-20,-0.7551
2009-11-23,-0.8696
2009-11-24,-3.8384
2009-11-25,10.9369
2009-11-27,5.3541
2009-11-30,10.0
2009-12-01,1.286
2009-12-02,4.9475
2009-12-03,-2.0442
2009-12-04,-4.5997
2009-12-07,3.3036
2009-12-08,0.9075
2009-12-09,5.9957
2009-12-10,-1.9798
2009-12-11,-4.7402999999999995
2009-12-14,0.952
2009-12-15,-2.7861000000000002
2009-12-16,-0.3527
2009-12-17,-0.885
2009-12-18,-6.4732
2009-12-21,-7.5418
2009-12-22,2.7878
2009-12-23,7.6344
2009-12-24,-0.7
2009-12-28,-4.1359
2009-12-29,0.2953
2009-12-30,-0.1472
2009-12-31,-0.1468
2010-01-04,8.8725
2010-01-05,2.9716
2010-01-06,-1.3998
2010-01-07,2.4839
2010-01-08,-2.077
2010-01-11,-4.9492
2010-01-12,-3.3938
2010-01-13,-2.5505
2010-01-14,-1.9259
2010-01-15,-0.1511
2010-01-19,1.6137000000000001
2010-01-20,-5.5087
2010-01-21,-8.7185
2010-01-22,-11.1623
2010-01-25,-4.0155
2010-01-26,-6.6127
2010-01-27,5.8526
