ticker,NDRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-05,-7.6949
2017-07-06,-0.275
2017-07-10,-5.2925
2017-07-11,9.1176
2017-07-12,2.4259
2017-07-17,-1.3158
2017-07-19,-4.2667
2017-07-20,-5.2925
2017-07-21,2.6471
2017-07-27,-2.5788
2017-07-28,0.0
2017-07-31,0.0
2017-08-01,-8.7647
2017-08-02,3.1593
2017-08-03,-7.1875
2017-08-04,14.8148
2017-08-08,-11.1437
2017-08-09,1.8152
2017-08-10,-1.1345
2017-08-11,8.1967
2017-08-16,-6.6667
2017-08-17,5.1948
2017-08-21,0.3086
2017-08-22,0.3077
2017-08-23,-0.3067
2017-08-24,0.3077
2017-08-28,2.1471999999999998
2017-08-31,-2.3994
2017-09-01,-0.0031
2017-09-07,-7.6923
2017-09-08,7.0667
2017-09-11,-13.6582
2017-09-12,-0.119
2017-09-13,-6.1372
2017-09-14,15.3846
2017-09-15,3.3333
2017-09-18,-2.9032
2017-09-20,27.3654
2017-09-21,-11.3128
2017-09-22,-4.7941
2017-09-25,-0.2162
2017-09-26,-2.4768
2017-09-27,1.5873
2017-09-28,-1.5625
2017-09-29,0.9524
2017-10-02,-2.5157
2017-10-03,1.8129
2017-10-04,-3.048
2017-10-05,8.1928
2017-10-10,-7.8745
2017-10-11,0.0
2017-10-13,1.6393
2017-10-16,7.7419
2017-10-17,-8.0838
2017-10-18,2.6059
2017-10-19,4.4444
2017-10-20,-11.8541
2017-10-23,-1.3793
2017-10-24,-3.1469
2017-10-25,-7.9422
2017-10-26,6.6667
2017-10-27,-4.4118
2017-10-30,-3.8462
2017-10-31,-8.0
2017-11-01,4.7826
2017-11-02,3.7344
2017-11-03,-12.0
2017-11-06,0.0
2017-11-07,0.9091
2017-11-08,0.4505
2017-11-09,3.6547
2017-11-10,-0.4975
2017-11-13,2.1739
2017-11-14,6.383
2017-11-15,-2.8
2017-11-16,-5.3498
2017-11-17,2.6087
2017-11-20,-1.2711999999999999
2017-11-21,24.4635
2017-11-22,11.7241
2017-11-24,15.7407
2017-11-27,-13.0667
2017-11-28,10.1227
2017-11-29,-3.8997
2017-11-30,4.3478
2017-12-01,-0.2778
2017-12-04,1.1142
2017-12-05,9.4215
2017-12-06,-3.22
2017-12-07,4.836
2017-12-08,-7.9404
2017-12-11,-3.2345
2017-12-12,13.0919
2017-12-13,4.6798
2017-12-14,3.5294
2017-12-15,-6.5908999999999995
2017-12-18,-1.4599
2017-12-19,-9.6272
2017-12-21,2.0464
