ticker,WATT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-28,76.3333
2014-03-31,39.414
2014-04-01,-13.4915
2014-04-02,8.7774
2014-04-03,6.9885
2014-04-04,-7.4747
2014-04-07,-6.1135
2014-04-08,-4.1085
2014-04-09,-3.8804
2014-04-10,0.9251
2014-04-11,-8.3333
2014-04-14,3.4545
2014-04-15,-3.4271
2014-04-16,1.5469
2014-04-17,1.2545
2014-04-21,9.115
2014-04-22,-5.8394
2014-04-23,-1.0336
2014-04-24,-0.8703
2014-04-25,0.0
2014-04-28,-6.0579
2014-04-29,-0.1402
2014-04-30,-1.4506000000000001
2014-05-01,23.4568
2014-05-02,-5.7692
2014-05-05,-0.4898
2014-05-06,-4.9221
2014-05-07,-7.2476
2014-05-08,-0.8372
2014-05-09,0.6567
2014-05-12,5.0326
2014-05-13,4.2591
2014-05-14,-4.2553
2014-05-15,1.3228
2014-05-16,-1.2178
2014-05-19,-3.6412
2014-05-20,-0.2765
2014-05-21,0.8318
2014-05-22,-2.7498
2014-05-23,0.377
2014-05-27,0.1878
2014-05-28,10.3093
2014-05-29,3.2285
2014-05-30,-3.8683
2014-06-02,5.2226
2014-06-03,0.8137
2014-06-04,-9.6045
2014-06-05,1.0714
2014-06-06,-2.7385
2014-06-09,6.4487
2014-06-10,2.3891
2014-06-11,-0.75
2014-06-12,1.9312
2014-06-13,-0.7414
2014-06-16,1.1618
2014-06-17,14.8482
2014-06-18,0.0
2014-06-19,-4.0714
2014-06-20,-2.9039
2014-06-23,4.3712
2014-06-24,7.9353
2014-06-25,5.1736
2014-06-26,0.7767
2014-06-27,-0.4496
2014-06-30,-2.4516
2014-07-01,-4.6958
2014-07-02,1.3185
2014-07-03,-1.0274
2014-07-07,-5.2595
2014-07-08,-8.8386
2014-07-09,2.3237
2014-07-10,9.5536
2014-07-11,-5.4325
2014-07-14,0.7559
2014-07-15,-8.102
2014-07-16,-2.0408
2014-07-17,1.5
2014-07-18,-2.6273
2014-07-21,6.2395
2014-07-22,-2.3016
2014-07-23,0.4874
2014-07-24,1.2126000000000001
2014-07-25,1.1182
2014-07-28,2.6066000000000003
2014-07-29,3.8491
2014-07-30,-14.6034
2014-07-31,4.3403
2014-08-01,-5.574
2014-08-04,4.6696
2014-08-05,2.0202
2014-08-06,-0.9901
2014-08-07,-1.6667
2014-08-08,-2.4576000000000002
2014-08-11,-1.6507
2014-08-12,-1.4134
2014-08-13,1.2545
2014-08-14,4.7788
2014-08-15,1.0135
