ticker,AZPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,13.2388
2000-01-04,-0.7307
2000-01-05,1.7875999999999999
2000-01-06,0.2066
2000-01-07,-1.4433
2000-01-10,7.9498
2000-01-11,9.8837
2000-01-12,-0.3527
2000-01-13,-0.177
2000-01-14,-0.1773
2000-01-18,0.8881
2000-01-19,3.169
2000-01-20,4.7782
2000-01-21,8.4691
2000-01-24,-4.4294
2000-01-25,-2.2781000000000002
2000-01-26,2.8939
2000-01-27,-0.9375
2000-01-28,-7.571
2000-01-31,-1.0239
2000-02-01,10.7759
2000-02-02,18.5992
2000-02-03,0.2625
2000-02-04,4.712
2000-02-07,1.5
2000-02-08,5.4187
2000-02-09,-6.4252
2000-02-10,-0.2497
2000-02-11,0.2503
2000-02-14,-2.2472
2000-02-15,-5.2363
2000-02-16,5.6604
2000-02-17,-6.1224
2000-02-18,-2.4457
2000-02-22,-3.4123
2000-02-23,8.8681
2000-02-24,2.9139
2000-02-25,-7.0785
2000-02-28,-0.2078
2000-02-29,-0.6246
2000-03-01,-1.7458
2000-03-02,-4.6198
2000-03-03,3.5022
2000-03-06,-8.1353
2000-03-07,2.1944
2000-03-08,7.362
2000-03-09,2.8571
2000-03-10,-6.6667
2000-03-13,1.4881
2000-03-14,-8.7977
2000-03-15,-7.8778
2000-03-16,26.7016
2000-03-17,4.4077
2000-03-20,2.9024
2000-03-21,-9.4872
2000-03-22,4.3909
2000-03-23,0.5427
2000-03-24,-2.2942
2000-03-27,4.1436
2000-03-28,-5.305
2000-03-29,-1.9607999999999999
2000-03-30,-7.4286
2000-03-31,-0.3086
2000-04-03,-17.9567
2000-04-04,6.9811
2000-04-05,6.1728
2000-04-06,0.6645
2000-04-07,5.6106
2000-04-10,-11.5625
2000-04-11,-6.7138
2000-04-12,-10.0379
2000-04-13,2.5263
2000-04-14,-9.4456
2000-04-17,5.8957
2000-04-18,13.4904
2000-04-19,4.717
2000-04-20,-10.2703
2000-04-24,-3.2129
2000-04-25,16.1826
2000-04-26,3.5714
2000-04-27,0.6897
2000-04-28,-3.0822
2000-05-01,-0.7067
2000-05-02,-7.2954
2000-05-03,5.1823
2000-05-04,2.1898
2000-05-05,4.2857
2000-05-08,-7.1918
2000-05-09,-2.583
2000-05-10,-5.8712
2000-05-11,2.8169
2000-05-12,-8.6106
2000-05-15,-5.3533
2000-05-16,-2.7149
2000-05-17,-3.2558
2000-05-18,-10.8173
2000-05-19,-3.504
2000-05-22,-4.4693
