ticker,GEVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-09,9.6
2011-02-10,2.3723
2011-02-11,-0.8318
2011-02-14,3.0557
2011-02-15,-0.9884
2011-02-16,6.6353
2011-02-17,9.0859
2011-02-18,0.1514
2011-02-22,-7.4093
2011-02-23,0.9799
2011-02-24,4.1509
2011-02-25,3.2091
2011-02-28,-1.1535
2011-03-01,-3.8559
2011-03-02,1.5831
2011-03-03,-0.7792
2011-03-04,-0.3141
2011-03-07,1.9433
2011-03-08,0.3091
2011-03-09,-2.6708
2011-03-10,-1.847
2011-03-11,1.5053999999999998
2011-03-14,-1.6419000000000001
2011-03-15,-0.4847
2011-03-16,0.7035
2011-03-17,4.1913
2011-03-18,1.7534999999999998
2011-03-21,-5.1698
2011-03-22,2.6189
2011-03-23,-8.6979
2011-03-24,-0.8557
2011-03-25,2.6467
2011-03-28,5.157
2011-03-29,5.5437
2011-03-30,1.5152
2011-03-31,-1.99
2011-04-01,8.1726
2011-04-04,9.8545
2011-04-05,-1.9223
2011-04-06,7.3606
2011-04-07,3.6511
2011-04-08,-0.9785
2011-04-11,-3.3597
2011-04-12,-4.499
2011-04-13,-4.6681
2011-04-14,-6.0647
2011-04-15,-2.726
2011-04-18,-5.2606
2011-04-19,2.2833
2011-04-20,7.0523
2011-04-21,-4.6919
2011-04-25,2.4863
2011-04-26,-1.4071
2011-04-27,-3.3957
2011-04-28,-2.1905
2011-04-29,0.7813
2011-05-02,5.478
2011-05-03,-2.7438000000000002
2011-05-04,-4.0806000000000004
2011-05-05,-0.7353
2011-05-06,1.2698
2011-05-09,-0.4702
2011-05-10,1.8898000000000001
2011-05-11,3.1942
2011-05-12,0.3994
2011-05-13,-0.5967
2011-05-16,-1.4007
2011-05-17,0.964
2011-05-18,-0.201
2011-05-19,3.8268
2011-05-20,-2.1823
2011-05-23,-0.6445
2011-05-24,-4.6906
2011-05-25,2.1466
2011-05-26,0.4613
2011-05-27,0.6888
2011-05-31,-2.3055
2011-06-01,-5.2386
2011-06-02,-1.5873
2011-06-03,-5.3949
2011-06-06,-2.9981999999999998
2011-06-07,-0.1212
2011-06-08,-0.1214
2011-06-09,-0.0608
2011-06-10,-1.5198
2011-06-13,5.2469
2011-06-14,-3.2258
2011-06-15,-0.4242
2011-06-16,-1.4607
2011-06-17,-2.0383
2011-06-20,-6.6204
2011-06-21,-9.0479
2011-06-22,0.5197
2011-06-23,4.5052
2011-06-24,4.5936
2011-06-27,-3.3108
2011-06-28,12.9979
