ticker,MPIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-10-05,0.0
2000-12-05,0.0
2001-01-08,100.0
2001-02-16,-50.0
2002-07-24,-50.0
2002-07-31,0.0
2002-08-20,0.0
2002-10-08,0.0
2002-10-31,0.0
2003-01-09,40.0
2003-04-29,185.7143
2003-08-18,-95.0
2003-11-19,0.0
2003-12-10,0.0
2004-03-10,0.0
2004-11-09,0.0
2005-04-29,0.0
2005-06-09,0.0
2005-06-13,0.0
2006-10-02,50.0
2007-01-19,566.6667
2007-03-06,-85.0
2007-04-20,0.0
2007-11-29,0.0
2008-01-10,0.0
2008-01-30,0.0
2008-03-12,0.0
2008-04-11,1233.3333
2008-04-25,0.0
2008-10-30,-89.0625
2008-11-19,-31.4286
2009-06-01,0.0
2009-11-11,12.5
2010-01-25,18.5185
2010-08-10,0.0
2010-08-18,-15.625
2010-09-13,0.0
2011-03-29,-81.4815
2011-06-24,0.0
2011-12-05,15900.0
2011-12-28,-99.375
2012-07-17,-40.0
2014-08-04,-33.3333
2016-02-12,700.0
2019-02-25,100.0
2019-03-14,410.0
2019-03-28,0.0
2019-05-28,96.0784
2019-05-29,45.0
2019-05-30,-22.5862
2019-06-06,-10.8018
2019-06-13,24.8439
2019-06-18,0.0
2019-07-08,-20.0
2019-08-06,0.0
2019-09-26,-25.0
2019-11-06,0.0
2019-11-18,0.0
2019-12-02,-33.3333
2019-12-23,52.5
2019-12-26,-50.8197
2020-01-13,0.0
2020-02-06,233.3333
2020-03-10,-68.72
2020-05-11,2.3018
2020-06-10,209.375
2020-06-15,-19.1919
2020-06-25,25.0
