ticker,INOV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-12,0.0
2015-02-13,7.4074
2015-02-17,3.6897
2015-02-18,-2.1616
2015-02-19,2.3114
2015-02-20,-0.8638
2015-02-23,2.3123
2015-02-24,1.4412
2015-02-25,2.5186
2015-02-26,-1.1024
2015-02-27,-1.0828
2015-03-02,-0.161
2015-03-03,-1.4189
2015-03-04,1.0141
2015-03-05,-0.7772
2015-03-06,-0.359
2015-03-09,-2.5221
2015-03-10,-7.4261
2015-03-11,-0.1452
2015-03-12,0.3272
2015-03-13,1.0145
2015-03-16,5.0574
2015-03-17,-0.7853
2015-03-18,0.0
2015-03-19,3.2347
2015-03-20,6.3667
2015-03-23,-3.4785
2015-03-24,2.4675000000000002
2015-03-25,-3.8657
2015-03-26,4.4825
2015-03-27,-2.3975
2015-03-30,-4.0724
2015-03-31,1.7856999999999998
2015-04-01,-3.9722
2015-04-02,-0.1724
2015-04-06,-1.2776
2015-04-07,-5.5964
2015-04-08,1.2597
2015-04-09,1.2075
2015-04-10,2.8923
2015-04-13,1.5109
2015-04-14,-2.5961
2015-04-15,-1.6702
2015-04-16,-2.6744
2015-04-17,-2.0052
2015-04-20,-0.6063
2015-04-21,-2.1731
2015-04-22,0.6625
2015-04-23,4.4909
2015-04-24,-1.1856
2015-04-27,-0.8999
2015-04-28,-0.6432
2015-04-29,-2.1706
2015-04-30,-1.7127
2015-05-01,-0.4356
2015-05-04,2.2275
2015-05-05,-1.6341999999999999
2015-05-06,-2.413
2015-05-07,-4.9858
2015-05-08,3.1997
2015-05-11,-0.7854
2015-05-12,-4.5833
2015-05-13,-0.2183
2015-05-14,4.814
2015-05-15,7.3069
2015-05-18,1.5564
2015-05-19,0.0
2015-05-20,2.3372
2015-05-21,0.6739
2015-05-22,2.566
2015-05-26,1.5591
2015-05-27,-1.321
2015-05-28,0.5789
2015-05-29,-4.3885
2015-06-01,-0.8653
2015-06-02,3.112
2015-06-03,0.6257
2015-06-04,-0.4023
2015-06-05,2.0933
2015-06-08,0.0
2015-06-09,0.0719
2015-06-10,0.8267
2015-06-11,-0.1783
2015-06-12,-2.0357
2015-06-15,0.9843
2015-06-16,1.0108
2015-06-17,0.0715
2015-06-18,2.3571
2015-06-19,-3.8032
2015-06-22,2.7929
2015-06-23,-0.247
2015-06-24,-2.936
2015-06-25,0.984
2015-06-26,1.5518
2015-06-29,-3.3404
2015-06-30,2.5735
2015-07-01,-5.1254
2015-07-02,-1.5867
2015-07-06,3.6468
