ticker,JPEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-12,2.7273
2013-02-28,1.7699
2013-03-06,2.6087
2013-03-27,0.0
2013-04-01,0.0
2013-04-05,3.3898
2013-04-12,-1.6393
2013-04-24,0.0
2013-04-25,0.0
2013-04-29,1.6667
2013-05-01,0.0
2013-05-03,2.459
2013-05-07,-0.8
2013-05-09,0.8065
2013-05-10,-0.8
2013-05-14,0.8065
2013-05-16,0.0
2013-05-20,-0.8
2013-05-31,0.8065
2013-06-03,0.0
2013-07-31,-12.0
2013-09-05,13.6364
2013-09-11,0.0
2013-10-09,0.0
2013-10-31,0.0
2013-11-06,0.0
2013-11-08,0.0
2013-11-12,0.0
2013-11-27,8.0
2013-12-03,-11.1111
2013-12-11,628.3333
2013-12-20,-83.9817
2013-12-23,0.7143
2013-12-24,-14.8936
2013-12-27,0.0
2013-12-31,17.5
2014-01-02,0.0
2014-01-06,-14.8936
2014-01-07,17.5
2014-01-08,0.0
2014-01-13,-11.3475
2014-01-21,-0.4
2014-02-03,0.4016
2014-02-06,4.0
2014-02-07,0.0
2014-02-11,-3.8462
2014-02-12,-4.0
2014-02-20,3.75
2014-02-27,-0.4016
2014-03-03,-3.2258
2014-03-04,8.3333
2014-03-12,-1.5385
2014-04-01,-0.7813
2014-04-03,14.1732
2014-05-16,-20.6897
2014-05-19,-13.0435
2014-05-23,45.0
2014-06-09,-3.4483
2014-06-11,3.5714
2014-06-13,-82.069
2014-06-19,3.8462
2014-06-24,392.5926
2014-06-25,4.5113
2014-06-26,-17.2662
2014-06-27,20.8696
2014-07-02,-23.0216
2014-07-07,-74.7664
2014-07-10,266.6667
2014-07-17,21.2121
2014-08-04,4.1667
2014-08-05,-3.2
2014-08-12,-8.7603
2014-08-22,3.2609
2014-08-27,-1.3158
2014-09-03,-54.6667
2014-09-04,115.6863
2014-09-30,13.6364
2014-10-10,0.0
2014-10-16,140.0
2014-10-17,-3.3333
2014-10-24,-31.0345
2014-11-04,-34.5
2014-11-07,0.0
2014-11-10,52.6718
2014-11-14,0.0
2014-12-29,-50.0
2015-01-02,20.0
2015-01-15,0.0
2015-01-23,65.8333
2015-01-29,0.0
2015-03-20,-37.1859
2015-03-27,59.2
2015-05-20,-39.6985
2015-05-22,-57.5
2015-05-26,288.2353
2015-06-01,-66.1616
2015-06-03,-17.9104
2015-06-05,-45.4545
2015-06-09,-1.6667
2015-06-26,35.5932
2015-06-29,-25.0
2015-07-02,-0.3333
2015-07-06,0.0
