ticker,PEMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-07-11,1150.0
2001-08-01,100.0
2001-08-03,102.0
2001-08-06,33.6634
2001-08-08,0.7407
2001-08-09,-15.4412
2001-08-15,334.7826
2001-08-20,-73.0
2001-08-21,262.2222
2001-08-28,-70.3476
2001-08-30,141.3793
2001-10-19,-28.5714
2001-10-25,20.0
2001-10-30,-3.3333
2001-10-31,18.2759
2001-11-02,16.6181
2001-11-21,-25.0
2001-11-26,33.3333
2001-11-29,-25.0
2001-12-04,33.3333
2001-12-13,0.0
2001-12-21,-2.5
2001-12-28,-35.8974
2001-12-31,0.0
2002-01-02,60.0
2002-01-03,-50.0
2002-01-04,-25.0
2002-01-09,-32.6667
2002-01-10,-0.9901
2002-01-14,1.0
2002-01-15,48.5149
2002-01-28,-6.6667
2002-02-11,7.1429
2002-02-14,-6.6667
2002-03-05,3.5714
2002-03-22,200.0
2002-03-25,-54.023
2002-06-07,50.0
2002-07-26,-33.3333
2002-07-29,50.0
2002-07-31,0.0
2002-08-30,-8.3333
2002-09-24,-61.8182
2002-09-25,57.1429
2002-09-26,21.2121
2002-09-27,50.0
2002-10-08,-28.3333
2002-10-09,2.3256
2002-10-11,13.6364
2002-10-14,40.0
2002-10-16,-14.2857
2002-11-15,16.6667
2002-11-18,42.8571
2003-02-05,-75.0
2003-03-24,120.0
2003-07-17,-54.5455
2003-07-24,0.0
2004-01-05,380.0
2004-03-19,-50.0
2004-03-26,-50.0
2004-04-26,0.0
2004-04-28,-30.0
2004-04-29,0.0
2004-04-30,0.0
2004-05-06,0.0
2004-05-10,3.8095
2004-06-01,-7.3394
2004-07-26,-42.5743
2004-08-02,12.069
2004-08-05,-1.5385
2004-08-31,-12.5
2004-09-01,0.0
2004-10-29,-28.5714
2004-12-21,-30.0
2005-01-25,-7.1429
2005-02-18,0.0
2005-03-21,0.0
2005-04-21,-3.8462
2005-05-23,4.0
2005-05-24,0.0
2005-05-31,0.0
2005-06-02,-3.8462
2005-06-03,-16.0
2005-06-13,0.0
2005-06-22,-4.7619
2005-07-05,0.0
2005-08-31,25.0
2005-09-06,0.0
2005-10-07,0.0
2005-12-02,-20.0
2006-02-03,-10.0
2006-02-06,38.8889
2006-04-25,-28.0
2006-06-12,0.0
2006-07-12,38.8889
2006-07-18,-40.0
2006-07-21,66.6667
2006-08-15,60.0
2006-08-25,0.0
2006-09-11,-72.5
2006-09-29,36.3636
2006-11-06,66.6667
2006-11-27,-60.0
2006-11-29,-20.0
