ticker,EFSH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-15,50.0
2018-11-21,233.3333
2018-11-23,-40.0
2018-12-14,-8.3333
2019-05-06,-21.8182
2019-05-13,-6.9767
2019-07-16,0.0
2019-08-27,0.0
2019-12-13,-22.5
2019-12-18,-3.2258
2019-12-24,0.0
2019-12-27,0.0
2020-01-03,83.3333
2020-01-22,-10.9091
2020-01-23,-40.4082
2020-01-24,-17.8082
2020-01-28,-15.8333
2020-02-03,18.8119
2020-02-07,16.6667
2020-02-14,24.9929
2020-02-21,14.2922
2020-03-26,-25.0
2020-04-08,0.0
2020-04-09,83.3333
2020-04-29,-9.0909
2020-05-01,0.0
2020-06-02,-2.0
2020-06-08,-6.1224
2020-06-12,-13.0435
2020-06-15,0.0
2020-06-16,0.0
2020-06-22,-12.5
2020-06-23,-54.2857
2020-06-24,18.75
2020-06-25,57.8947
2020-06-26,116.0
2020-06-29,4.9383
2020-06-30,-3.8235
2020-07-01,-8.2569
2020-07-02,0.0
2020-07-06,-7.0
2020-07-13,-17.9211
2020-07-14,0.0
2020-07-15,9.1703
2020-07-17,0.0
2020-07-21,0.0
2020-07-23,-20.0
2020-07-24,0.0
2020-07-27,5.0
2020-07-28,-4.7619
2020-07-29,-9.5
2020-07-31,43.6464
