ticker,FLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3088
2000-01-04,-1.9011
2000-01-05,1.5504
2000-01-06,0.3817
2000-01-07,0.7605
2000-01-10,-1.8868
2000-01-11,-1.5385
2000-01-12,1.9531
2000-01-13,-0.7663
2000-01-14,-1.1583
2000-01-18,0.0
2000-01-19,2.3438
2000-01-20,-0.3817
2000-01-21,-0.7663
2000-01-24,-5.0193
2000-01-25,1.2195
2000-01-26,0.0
2000-01-27,-1.6064
2000-01-28,0.4082
2000-01-31,-0.4065
2000-02-01,-0.8163
2000-02-02,-0.823
2000-02-03,0.4149
2000-02-04,2.8926
2000-02-07,-0.8032
2000-02-08,-2.0243
2000-02-09,-2.0661
2000-02-10,-8.4388
2000-02-11,-4.6083
2000-02-14,-4.3478
2000-02-15,-2.5253
2000-02-16,-0.5181
2000-02-17,0.0
2000-02-18,-2.0833
2000-02-22,2.1277
2000-02-23,-0.5208
2000-02-24,-3.1414
2000-02-25,-0.5405
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,-2.1739
2000-03-03,0.0
2000-03-06,-1.6667
2000-03-07,-4.5198
2000-03-08,5.9172
2000-03-09,3.352
2000-03-10,-1.6216
2000-03-13,1.0989
2000-03-14,-0.5435
2000-03-15,3.8251
2000-03-16,0.5263
2000-03-17,5.2356
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,-0.4975
2000-03-23,1.5
2000-03-24,6.8966
2000-03-27,-3.2258
2000-03-28,-2.8571
2000-03-29,2.451
2000-03-30,2.3923
2000-03-31,-3.7382999999999997
2000-04-03,2.4272
2000-04-04,1.4218
2000-04-05,-2.3364
2000-04-06,-0.4785
2000-04-07,3.8462
2000-04-10,-3.2407
2000-04-11,-2.3923
2000-04-12,0.4902
2000-04-13,3.4146
2000-04-14,1.4151
2000-04-17,-1.3953
2000-04-18,0.9434
2000-04-19,-1.4019
2000-04-20,-0.4739
2000-04-24,-5.2381
2000-04-25,-1.005
2000-04-26,5.5838
2000-04-27,8.6538
2000-04-28,0.0
2000-05-01,-1.3274
2000-05-02,0.4484
2000-05-03,4.4643
2000-05-04,10.2564
2000-05-05,0.7752
2000-05-08,-1.1538
2000-05-09,-0.3891
2000-05-10,0.7813
2000-05-11,4.6512
2000-05-12,2.5926
2000-05-15,-3.9711
2000-05-16,3.0075
2000-05-17,0.365
2000-05-18,0.7273
2000-05-19,-2.8881
2000-05-22,0.3717
2000-05-23,0.0
2000-05-24,-2.5926
