ticker,CCRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-21,153.75
2015-12-22,12.8079
2015-12-23,-12.2271
2015-12-24,10.3483
2015-12-28,-10.0992
2015-12-29,-2.1063
2015-12-30,-8.6066
2015-12-31,-10.7623
2016-01-04,-5.5276
2016-01-05,2.1277
2016-01-06,-2.9964
2016-01-07,-4.1595
2016-01-08,4.4818
2016-01-11,2.5469
2016-01-12,3.6601
2016-01-13,4.1614
2016-01-14,6.5375
2016-01-15,0.9091
2016-01-19,-13.5135
2016-01-20,-18.099
2016-01-21,0.0
2016-01-22,-3.9746
2016-01-25,3.8079
2016-01-26,1.2739
2016-01-27,-0.7854
2016-01-28,2.5377
2016-01-29,24.6154
2016-02-01,-11.1801
2016-02-02,35.3829
2016-02-03,1.8608
2016-02-04,1.4186
2016-02-05,-12.4989
2016-02-08,16.8
2016-02-09,-7.5355
2016-02-10,-2.8559
2016-02-11,-6.427
2016-02-12,8.3818
2016-02-16,-2.4705
2016-02-17,6.2775
2016-02-18,-5.9067
2016-02-19,2.4229
2016-02-22,14.5161
2016-02-23,-0.0939
2016-02-24,-0.282
2016-02-25,-0.4713
2016-02-26,-9.5644
2016-02-29,-6.7016
2016-03-01,-2.8058
2016-03-02,2.6559
2016-03-03,-0.6749
2016-03-04,0.6795
2016-03-07,-1.4623
2016-03-08,5.2511
2016-03-09,9.5445
2016-03-10,-0.6931
2016-03-11,-4.1874
2016-03-14,-7.2841000000000005
2016-03-15,-3.8159
2016-03-16,-0.3501
2016-03-17,3.8642
2016-03-18,0.3382
2016-03-21,-1.7978
2016-03-22,-0.9153
2016-03-23,-3.3487
2016-03-24,1.7921
2016-03-28,3.0516
2016-03-29,1.2528000000000001
2016-03-30,0.6749
2016-03-31,-1.0056
2016-04-01,6.6591000000000005
2016-04-04,2.4339
2016-04-05,-2.1694
2016-04-06,1.7951000000000001
2016-04-07,-1.1411
2016-04-08,5.8762
2016-04-11,2.8741
2016-04-12,-3.0829
2016-04-13,4.0755
2016-04-14,8.3095
2016-04-15,0.7044
2016-04-18,-1.4875
2016-04-19,-7.1111
2016-04-20,1.3397000000000001
2016-04-21,0.9443
2016-04-22,-1.6838
2016-04-25,-1.1418
2016-04-26,-3.5611
2016-04-27,4.3911999999999995
2016-04-28,2.7713
2016-04-29,4.3733
2016-05-02,-31.1052
2016-05-03,-15.0065
2016-05-04,-4.414
2016-05-05,-6.8471
2016-05-06,-1.7094
2016-05-09,4.8696
2016-05-10,-1.4925
