ticker,QUOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-07,87.5
2014-03-10,0.0
2014-03-11,-7.3333
2014-03-12,6.1871
2014-03-13,-8.706
2014-03-14,-1.4842
2014-03-17,12.9944
2014-03-18,-1.9
2014-03-19,-7.9171
2014-03-20,1.1808
2014-03-21,-4.5587
2014-03-24,-12.0749
2014-03-25,11.9513
2014-03-26,-3.5326
2014-03-27,2.7364
2014-03-28,-0.6267
2014-03-31,-2.838
2014-04-01,-2.2718
2014-04-02,-0.1245
2014-04-03,-5.8603
2014-04-04,-9.0508
2014-04-07,-0.9223
2014-04-08,0.9309
2014-04-09,2.8155
2014-04-10,-0.8026
2014-04-11,-5.4736
2014-04-14,2.0645
2014-04-15,0.148
2014-04-16,-3.6946
2014-04-17,-1.1764999999999999
2014-04-21,-2.2774
2014-04-22,6.1441
2014-04-23,3.8423
2014-04-24,-10.3796
2014-04-25,-6.1126
2014-04-28,-0.5711
2014-04-29,-0.5169
2014-04-30,-2.8868
2014-05-01,6.5993
2014-05-02,0.3904
2014-05-05,-0.4444
2014-05-06,-0.8929
2014-05-07,-7.3198
2014-05-08,4.0705
2014-05-09,3.9696
2014-05-12,-4.3796
2014-05-13,3.2296
2014-05-14,13.7656
2014-05-15,-0.8
2014-05-16,-2.9737999999999998
2014-05-19,-5.2468
2014-05-20,8.1689
2014-05-21,2.0274
2014-05-22,3.5768
2014-05-23,5.6594999999999995
2014-05-27,1.044
2014-05-28,1.752
2014-05-29,7.9912
2014-05-30,5.5601
2014-06-02,16.8474
2014-06-03,-2.287
2014-06-04,-5.3596
2014-06-05,-0.681
2014-06-06,-1.4435
2014-06-09,1.9041000000000001
2014-06-10,-10.6001
2014-06-11,4.1801
2014-06-12,-0.463
2014-06-13,4.6512
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,-0.0741
2014-06-19,-0.1112
2014-06-20,0.1855
2014-06-23,0.0
2014-06-24,-3.963
2014-06-25,3.7408
2014-06-26,0.3717
2014-06-27,-2.0
2014-06-30,-0.5669
2014-07-01,-7.1076
2014-07-02,-8.4697
2014-07-03,4.4256
2014-07-07,2.6969
2014-07-08,4.7103
2014-07-09,-0.199
2014-07-10,-0.9174
2014-07-11,1.7713
2014-07-14,-0.3956
2014-07-15,-2.2637
2014-07-16,0.1219
2014-07-17,-1.3799000000000001
2014-07-18,2.0576
2014-07-21,-1.6129
2014-07-22,0.5738
2014-07-23,-0.4075
2014-07-24,-1.1865999999999999
2014-07-25,-2.3188
