ticker,GHTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-12-23,24900.0
2003-08-13,0.0
2003-09-03,50.0
2003-09-18,-93.3333
2003-09-22,1400.0
2004-05-03,-83.3333
2004-05-18,0.0
2004-05-25,100.0
2005-01-18,-70.0
2005-02-08,0.0
2005-03-11,0.0
2005-07-07,-32.6667
2005-07-27,0.0
2005-08-22,-72.2772
2005-08-26,82.1429
2005-08-31,96.0784
2005-09-01,0.0
2005-09-13,-85.0
2005-09-14,566.6667
2005-09-15,-70.0
2005-10-19,0.0
2005-10-20,66.6667
2005-10-31,20.0
2005-11-01,-15.0
2005-11-02,3.9215999999999998
2005-11-03,-11.3208
2005-11-04,34.0426
2005-11-07,-20.634900000000002
2005-11-08,10.0
2005-11-09,-3.6364
2005-11-10,-52.8302
2005-11-11,40.0
2005-11-14,0.0
2005-11-15,-42.8571
2005-11-16,90.0
2005-11-17,36.8421
2005-11-18,-33.6538
2005-11-21,10.1449
2005-11-22,18.4211
2005-11-23,0.0
2005-11-25,0.0
2005-11-28,-11.1111
2005-11-29,-2.5
2005-11-30,-35.8974
2005-12-01,56.0
2005-12-02,-10.2564
2005-12-05,-28.5714
2005-12-07,40.0
2005-12-08,0.0
2005-12-09,0.0
2005-12-12,-14.2857
2005-12-13,-16.6667
2005-12-15,40.0
2005-12-16,-40.0
2005-12-19,-19.0476
2005-12-20,-29.4118
2005-12-21,50.0
2005-12-22,-27.7778
2005-12-27,0.0
2005-12-28,38.4615
2005-12-30,0.0
2006-01-03,0.0
2006-01-04,-38.8889
2006-01-09,-36.3636
2006-01-11,185.7143
2006-01-12,-65.0
2006-01-17,42.8571
2006-01-18,100.0
2006-01-26,0.0
2006-01-27,5.0
2006-01-30,-4.7619
2006-02-02,5.0
2006-02-03,14.2857
2006-02-07,-8.3333
2006-02-08,-31.8182
2006-02-14,-13.3333
2006-02-15,-7.6923
2006-02-22,-52.0833
2006-02-23,2.6087
2006-02-28,120.339
2006-03-01,15.3846
2006-03-02,-13.3333
2006-03-06,-23.0769
2006-03-08,-40.0
2006-03-09,100.0
2006-03-14,-39.4271
2006-03-15,-3.6973000000000003
2006-03-16,0.0
2006-03-17,0.0
2006-03-21,0.0
2006-03-22,-35.7143
2006-03-24,11.1111
2006-03-31,40.0
2006-04-05,14.2857
2006-04-06,12.5
2006-04-10,33.3333
2006-04-11,-25.0
2006-04-12,-11.1111
2006-04-17,12.5
2006-04-19,-22.2222
2006-04-20,-14.2857
2006-04-21,-41.6667
