ticker,SIGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8182
2000-01-04,-0.5556
2000-01-05,-0.9311
2000-01-06,0.3759
2000-01-07,-2.9962999999999997
2000-01-10,-2.7027
2000-01-11,2.1825
2000-01-12,-1.3592
2000-01-13,4.3307
2000-01-14,0.0
2000-01-18,-1.8868
2000-01-19,-3.8462
2000-01-20,0.0
2000-01-21,-2.0
2000-01-24,-2.0408
2000-01-25,1.6667
2000-01-26,-2.0492
2000-01-27,0.4184
2000-01-28,-0.4167
2000-01-31,0.8368
2000-02-01,0.4149
2000-02-02,0.0
2000-02-03,1.2397
2000-02-04,0.8163
2000-02-07,-1.6194
2000-02-08,-1.0288
2000-02-09,0.6237
2000-02-10,-0.8264
2000-02-11,1.0
2000-02-14,0.4167
2000-02-15,1.2448
2000-02-16,1.2295
2000-02-17,-2.0243
2000-02-18,1.6529
2000-02-22,-1.626
2000-02-23,-0.8264
2000-02-24,0.8333
2000-02-25,3.3058
2000-02-28,-5.6
2000-02-29,4.661
2000-03-01,-1.6194
2000-03-02,0.4115
2000-03-03,3.2787
2000-03-06,3.9683
2000-03-07,-6.1068999999999996
2000-03-08,-2.439
2000-03-09,6.6667
2000-03-10,-3.5156
2000-03-13,-2.4291
2000-03-14,-0.6224
2000-03-15,1.8789
2000-03-16,1.6393
2000-03-17,-1.6129
2000-03-20,2.459
2000-03-21,2.4
2000-03-22,5.4688
2000-03-23,-0.3704
2000-03-24,-1.8587
2000-03-27,2.2727
2000-03-28,1.8519
2000-03-29,-3.6364
2000-03-30,1.1320999999999999
2000-03-31,1.8657
2000-04-03,1.0989
2000-04-04,3.2609
2000-04-05,0.3509
2000-04-06,0.3497
2000-04-07,-5.9233
2000-04-10,0.7407
2000-04-11,-0.3676
2000-04-12,0.369
2000-04-13,0.0
2000-04-14,1.4706000000000001
2000-04-17,3.2609
2000-04-18,3.8596
2000-04-19,0.6757
2000-04-20,1.3423
2000-04-24,-3.6424
2000-04-25,1.7182
2000-04-26,-1.3514
2000-04-27,4.1096
2000-04-28,-0.3289
2000-05-01,-0.9901
2000-05-02,0.0
2000-05-03,-3.3333
2000-05-04,0.0
2000-05-05,2.4138
2000-05-08,-2.3569
2000-05-09,2.7586
2000-05-10,-2.0134
2000-05-11,4.589
2000-05-12,0.33
2000-05-15,5.2632
2000-05-16,1.875
2000-05-17,-1.227
2000-05-18,-1.8634
2000-05-19,1.8987
2000-05-22,-2.4845
2000-05-23,0.0
2000-05-24,-3.8217
