ticker,FNKO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-02,-41.0833
2017-11-03,-0.9901
2017-11-06,10.7143
2017-11-07,5.8065
2017-11-08,-1.2195
2017-11-09,-1.2346
2017-11-10,-1.375
2017-11-13,0.7605
2017-11-14,-1.8868
2017-11-15,-3.2051
2017-11-16,1.1921
2017-11-17,-3.0105
2017-11-20,2.1592000000000002
2017-11-21,3.5667
2017-11-22,3.5714
2017-11-24,0.9852
2017-11-27,3.0488
2017-11-28,-0.5917
2017-11-29,3.2143
2017-11-30,2.4221
2017-12-01,5.9685
2017-12-04,3.1881
2017-12-05,-4.2225
2017-12-06,-6.7742
2017-12-07,-4.8443000000000005
2017-12-08,-2.5455
2017-12-11,0.2488
2017-12-12,-0.2481
2017-12-13,-1.8657
2017-12-14,-1.9011
2017-12-15,-6.3307
2017-12-18,-1.5171999999999999
2017-12-19,-11.0644
2017-12-20,0.1575
2017-12-21,-5.6604
2017-12-22,0.0
2017-12-26,3.5
2017-12-27,4.8309
2017-12-28,0.4608
2017-12-29,1.682
2018-01-02,-0.9023
2018-01-03,-2.5797
2018-01-04,-1.2461
2018-01-05,-3.4699999999999998
2018-01-08,0.4902
2018-01-09,0.1626
2018-01-10,8.6039
2018-01-11,6.4275
2018-01-12,2.5281000000000002
2018-01-16,-4.7945
2018-01-17,4.1727
2018-01-18,-2.2099
2018-01-19,-0.1412
2018-01-22,0.2829
2018-01-23,1.5514999999999999
2018-01-24,-1.3889
2018-01-25,2.1127
2018-01-26,0.8276
2018-01-29,0.8208
2018-01-30,1.2212
2018-01-31,-1.2064
2018-02-01,1.3569
2018-02-02,-0.8032
2018-02-05,-0.6748
2018-02-06,-1.3587
2018-02-07,0.8264
2018-02-08,-1.0929
2018-02-09,1.105
2018-02-12,-1.2295
2018-02-13,-2.0747
2018-02-14,-0.1412
2018-02-15,1.8388
2018-02-16,-0.6944
2018-02-20,0.6993
2018-02-21,2.2222
2018-02-22,-1.4946
2018-02-23,0.8276
2018-02-26,1.7784
2018-02-27,2.6882
2018-02-28,-3.4031000000000002
2018-03-01,0.9485
2018-03-02,3.2215
2018-03-05,3.251
2018-03-06,-0.7557
2018-03-07,-0.1269
2018-03-08,0.8895
2018-03-09,6.1713000000000005
2018-03-12,5.2195
2018-03-13,0.2255
2018-03-14,-1.5748
2018-03-15,-2.2857
2018-03-16,-0.8187
2018-03-19,-1.0613
2018-03-20,-1.5495
2018-03-21,-0.8475
2018-03-22,-1.7094
2018-03-23,-3.354
