ticker,RIII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-12,50.0
2018-01-04,66.6667
2019-05-23,-80.0
2019-05-29,150.0
2019-10-30,20.0
2020-03-23,-90.0
2020-03-24,0.0
2020-03-25,-26.6667
2020-03-27,59.0909
2020-03-30,-17.1429
2020-04-03,-24.1379
2020-04-07,-12.5
2020-04-08,-22.0779
2020-04-15,26.6667
2020-04-17,-15.7895
2020-04-20,-32.5
2020-04-21,-25.9259
2020-04-22,-37.5
2020-04-23,-20.0
2020-04-24,0.0
2020-04-27,-42.25
2020-04-28,203.0303
2020-04-29,-30.0
2020-04-30,54.6939
2020-05-01,-40.6332
2020-05-04,8.8889
2020-05-05,-28.5714
2020-05-06,5.7143
2020-05-07,-29.7297
2020-05-08,25.1923
2020-05-11,-23.1951
2020-05-12,108.08
2020-05-13,111.4571
2020-05-14,-54.5455
2020-05-15,-28.2
2020-05-18,35.0975
2020-05-19,0.2784
2020-05-20,-15.6986
2020-05-21,-26.5854
2020-05-22,17.9402
2020-05-26,7.0423
2020-05-27,-7.8947
2020-05-28,-7.1429
2020-05-29,-7.6923
2020-06-01,-22.3333
2020-06-02,6.4378
2020-06-03,12.9032
2020-06-04,-26.7857
2020-06-05,-5.3659
2020-06-08,9.2784
2020-06-09,22.6415
2020-06-10,-6.9231
2020-06-11,31.8182
2020-06-12,30.4075
2020-06-15,2.9808
2020-06-16,-27.6377
2020-06-17,-3.2258
2020-06-18,13.6667
2020-06-19,17.3021
2020-06-22,7.25
2020-06-23,-11.655
2020-06-24,14.7757
2020-06-25,23.4483
2020-06-26,-6.4246
2020-06-29,-25.7711
2020-06-30,-5.63
2020-07-01,37.2159
2020-07-02,7.6605
2020-07-06,-3.8462
2020-07-07,12.0
2020-07-08,12.5
2020-07-09,14.2857
2020-07-10,4.0278
2020-07-13,2.9372
2020-07-14,-5.3178
2020-07-15,-6.8493
2020-07-16,-2.8603
2020-07-17,2.9445
2020-07-20,2.9412000000000003
2020-07-21,-1.4285999999999999
2020-07-22,-5.7971
2020-07-23,-10.0769
2020-07-24,8.2121
2020-07-27,3.5573
2020-07-28,-8.0153
2020-07-29,16.1826
2020-07-30,12.7143
2020-07-31,-8.7452
