ticker,FRBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-30,-2.3810000000000002
2007-04-02,-1.4634
2007-04-09,-8.4158
2007-04-27,2.7027
2007-04-30,7.8947
2007-05-01,-4.878
2007-05-10,12.8205
2007-05-11,-4.5455
2007-05-14,0.0
2007-05-15,0.0
2007-05-17,-4.7619
2007-05-21,0.0
2007-06-04,0.0
2007-06-11,-2.5
2007-06-18,0.0
2007-06-19,-2.5641
2007-06-21,-5.2632
2007-06-25,5.5556
2007-06-29,6.8421
2007-07-26,-15.7635
2007-07-27,-0.5848
2007-07-31,2.9412000000000003
2007-08-02,-8.5714
2007-08-06,-6.25
2007-08-13,0.0
2007-08-14,-3.3333
2007-08-16,3.4483
2007-08-22,0.0
2007-08-23,6.6667
2007-08-24,6.25
2007-08-30,-20.5882
2007-08-31,3.7037
2007-09-04,0.0
2007-09-05,-3.4286
2007-09-06,-3.6982
2007-09-11,-0.1536
2007-09-12,0.0
2007-09-18,7.6923
2007-09-24,-2.8571
2007-09-26,-1.6176
2007-09-28,1.6442
2007-10-01,0.0
2007-10-02,-0.7353
2007-10-03,0.7407
2007-10-04,-0.7353
2007-10-05,0.0
2007-10-08,0.0
2007-10-09,-2.963
2007-10-11,3.0534
2007-10-16,0.0
2007-10-17,3.7037
2007-10-25,-7.1429
2007-10-29,0.0
2007-10-30,0.0
2007-10-31,3.8462
2007-11-01,-3.7037
2007-11-02,0.0
2007-11-07,-3.8462
2007-11-13,-4.0
2007-11-16,-8.3333
2007-11-19,0.0
2007-11-20,4.5455
2007-11-21,0.0
2007-11-23,-4.3478
2007-11-26,9.0909
2007-11-27,-8.3333
2007-11-30,11.818200000000001
2007-12-03,-17.8862
2007-12-04,1.9802
2007-12-05,4.8544
2007-12-07,-3.7037
2007-12-10,-3.8462
2007-12-11,3.0
2007-12-12,0.9709
2007-12-13,-0.9615
2007-12-14,-2.9126
2007-12-17,0.0
2007-12-18,-10.0
2007-12-19,0.0
2007-12-21,0.0
2007-12-26,-11.1111
2007-12-27,6.25
2007-12-28,-4.7059
2007-12-31,29.6296
2008-01-02,-4.7619
2008-01-03,0.0
2008-01-07,-10.0
2008-01-08,4.4444
2008-01-09,-2.1277
2008-01-10,-6.5217
2008-01-14,0.0
2008-01-15,-1.1628
2008-01-16,-2.3529
2008-01-17,-3.6145
2008-01-22,-3.75
2008-01-23,2.5974
2008-01-28,0.0
2008-01-29,7.5949
2008-01-30,0.0
2008-02-01,-9.4118
2008-02-04,-1.2987
