ticker,SNTW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-09,3050.0
2017-04-06,58.730199999999996
2017-04-19,-20.0
2017-05-26,-6.25
2017-07-27,33.3333
2017-09-15,100.0
2017-11-03,-25.0
2017-11-14,0.0
2018-02-01,0.0
2018-04-10,0.0
2018-04-25,-50.0
2018-06-20,-23.3333
2018-06-21,139.1304
2018-06-22,45.4545
2018-06-25,0.0
2018-07-02,-25.0
2018-07-17,-50.0
2018-07-18,-8.0
2018-08-06,-27.5362
2018-08-08,0.0
2018-08-22,100.0
2018-09-11,-25.0
2018-10-16,66.6667
2018-10-17,-9.6
2018-10-18,-9.292
2018-10-19,-2.439
2018-10-31,-50.0
2018-12-07,75.0
2018-12-13,15.4286
2018-12-19,-13.3663
2018-12-24,0.0
2019-02-19,14.2857
2019-03-04,37.5
2019-03-06,9.0909
2019-03-14,-13.3333
2019-06-06,-23.0769
2019-06-10,0.0
2019-07-17,250.0
2019-07-18,185.7143
2019-07-19,-50.0
2019-07-22,-30.0
2019-07-23,-7.1286
2019-07-25,-0.0154
2019-08-20,0.0
2019-09-23,0.0
2019-12-09,-38.4615
2020-02-26,-12.5
2020-03-19,0.0
2020-03-31,-14.2857
